"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Hourly Rate: Educational Aide / Child Care Aide / Child Care Aide - Magnets (Effective July 1, 2021; Effective July 1, 2022; Effective July 1, 2023)"
# population: Educational Aide / Child Care Aide (Classified/Paraprofessional) | is_teacher_schedule: False
# validation_warnings: none | audit corrected this table
step,2021-2022,2022-2023,2023-2024
1-4 years,15.20,15.66,15.97
5-8 years,17.17,17.69,18.04
9-12 years,17.89,18.43,18.80
13-20 years,18.29,18.84,19.22
21 years,18.98,19.55,19.94
26 years,19.87,20.46,20.87
31 years,20.91,21.54,21.97
36 years,22.10,22.77,23.22
