"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Hourly Rate: Instructional Aide - Adult Education / Instructional Technician - Adult Education (Effective July 1, 2021; Effective July 1, 2022; Effective July 1, 2023)"
# population: Instructional Aide / Instructional Technician - Adult Education (Hourly) | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,2021-2022,2022-2023,2023-2024
1-17 years,21.12,21.75,22.18
18-20 years,21.22,21.85,22.29
21 years,21.85,22.50,22.95
26 years,22.65,23.33,23.80
31 years,23.74,24.45,24.94
36 years,24.99,25.74,26.25
