# Columbus_Education_Association_2022-2025.pdf — 902.02 Effective at the beginning of the 2023–2024 school year (Effective at the beginning of the 2023–2024 school year)
# population: teachers and school nurses possessing a valid school nurse certificate | is_teacher_schedule: True
"# validation_warnings: label_not_in_source: ""Pre-License Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Bachelor's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: ""150 Hours and Master's Degree"" — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '30 Semester Hours Ph.D.' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,Pre-License Bachelor's Degree,Bachelor's Degree,Bachelor's Degree,Master's Degree,150 Hours and Master's Degree,30 Semester Hours Ph.D.
0,39310,50750,50750,54697,55732,59299
1,39310,50750,50750,55782,56866,60506
2,40888,52773,52773,56866,58001,61713
3,42513,54893,54893,59135,60320,64179
4,44241,57064,57064,61504,62687,66698
5,45967,59383,59383,63969,65200,69374
6,47841,61750,61750,66534,67816,72156
7,47841,64216,64216,69195,70529,75041
8,47841,66779,66779,71958,73389,78085
9,47841,69442,69442,74820,76298,81181
10,47841,72205,72205,77827,79355,84435
11,47841,75114,75114,80935,82512,87793
12,47841,78124,78124,84191,85816,91309
13,47841,81230,81230,87543,89269,94983
14,47841,84486,84486,91046,92820,98760
15,47841,87888,87888,94821,96695,102875
16,47841,88098,88098,95156,97029,103211
17,47841,88308,88308,95366,97239,103419
18,47841,88308,88308,95366,97239,103419
19,47841,89257,89257,96313,98190,104369
20,47841,90204,90204,97263,99137,105318
21,47841,90204,90204,97263,99137,105318
22,47841,90204,90204,97263,99137,105318
23,47841,91660,91660,98718,100593,106773
24,47841,93117,93117,100173,102049,108229
25,47841,93117,93117,100173,102049,108229
26,47841,93117,93117,100173,102049,108229
27,47841,95129,95129,102187,104063,110242
28,47841,97141,97141,104199,106074,112254
29,47841,97141,97141,104199,106074,112254
30,47841,99247,99247,106306,108182,114361
31,47841,101353,101353,108411,110284,116466
