"# Pittsburgh_10-15.pdf — Master's Degree, Master's Equivalent, Bachelor's + 30 Credits (2010-2015)"
"# population: Master's Degree, Master's Equivalent, Bachelor's + 30 Credits | is_teacher_schedule: True"
# validation_warnings: ocr_unreliable: contains values far above a plausible salary — the OCR of this table may be destroyed; manual review required | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,"33,690 ->","34,190 ->","34,690 ->","35,190 ->","35,690 —","36,190","15,580 / 46.25%"
2-,"36,780 ->","37,280 ->","37,780 ->","38,280 ->","38,780 —","39,280","13,940 / 37.90%"
3-,"39,870 ->","40,370 ->","40,870 ->","41,370 ->","41,870 —","42,370","12,290 / 30.83%"
4-,"44,600 ->","45,100 ->","45,600 ->","46,400 ->","46,940 —","47,440","9,510 / 21.56%"
5-,"45,940 ->","46,440 ->","46,940 ->","47,770 ->","48,270 —","48,770","11,970 / 26.34%"
6-,"46,770 ->","47,270 ->","47,770 ->","49,220 ->","49,720 —","50,220","10,640 / 22.75%"
7-,"48,220 ->","48,720 ->","49,220 ->","50,660 ->","51,160 —","51,660","9,190 / 19.06%"
8-,"49,660 ->","50,160 ->","50,660 ->","52,110 ->","52,610 —","53,110","7,750 / 15.61%"
9-,"51,110 ->","51,610 ->","52,110 ->","53,910 ->","54,410 —","54,910","6,300 / 12.33%"
10-,"54,910 ->","55,410 ->","55,910 ->","56,410 ->","56,910 —","57,410","2,500 / 4.55%"
