# Pittsburgh_10-15.pdf — Salary Schedules Bachelor's Degree (June 2010)
# population: Certified teachers with Bachelor's Degree | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014 Total Increase
1-,37120,37620,38120,38620,39120,39620
2-,38850,39350,39850,40350,40850,41350
3-,40300,40800,41300,41800,42300,42800
4-,41620,42120,42620,43120,43620,44120
5-,45570,46800,48150,49630,51130,
6-,43070,44490,46300,48150,49650,
7-,44490,45800,47650,49630,51800,
8-,45800,47150,49130,51800,54800,
9-,47150,48630,50630,53630,56630,
10-,75800,77300,78800,80300,80300,80300
10a,62875,64675,63775,80300,81800,83300
10b,77300,78800,80300,81800,83300,
