# Pittsburgh_10-15.pdf — Adjunct Teachers Salary Schedules and Hourly Rates (June 2010 - September 2014)
# population: Adjunct Teachers | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase*
1-,36570,37070,37570,38070,38570,39070,10650
2-,39050,39550,40050,40550,41050,41550,9710
3-,40590,41090,41590,42090,42590,43090,9410
4-,41730,42230,42730,43230,43730,44230,12850
5-,42960,43460,43960,44460,44960,45460,19920
6-,44720,45220,45720,46220,46720,47220,18160
7-,46260,46760,47260,47760,48260,48760,16620
8-,47500,48000,48500,49000,49500,50000,15380
9-,52080,60880,61380,61880,62380,62880,10800
10-,60380,60880,61380,61880,62380,62880,2500
