# Pittsburgh_10-15.pdf — Counselors Salary Schedule (June 2010 - September 2014)
"# population: Counselors (Master's Degree/Master's Equivalent; Bachelor's + 30 Credits, Regular 192-Day School Year) | is_teacher_schedule: False"
# validation_warnings: duplicate step_labels: ['1-'] | audit corrected this table
step,June 2010,September 2010,September 2011,September 2012,September 2013,Total Increase
1-,39510,41910,44100,46400,48700,43910
1-,39510,41910,44100,46400,48700,43910
2-,41410,43600,45400,47300,49200,45600
3-,43300,44900,46800,48730,50470,46900
4-,44400,46300,48230,49970,51720,48300
5-,45800,47730,49470,51220,53090,49670
6-,47230,48970,50720,52590,54455,50730
7-,48470,50220,52090,54045,56040,51970
8-,49720,51590,53145,54900,56700,53000
9-,51090,53245,54800,56200,58100,53800
10-,80100,81900,83700,85500,87600,84000
11-,80400,82200,84000,86100,87600,87000
12-,80700,82500,84600,86100,87600,87600
13-,81000,83100,84600,86100,87600,87600
14-,81600,83100,84600,86100,87600,89100
