# Pittsburgh_10-15.pdf — School Nurse Practitioners and Dental Hygienists Salary Schedule (June 2010 - September 2014)
# population: School Nurse Practitioners and Dental Hygienists | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: ['12-']; possible_dropped_row: step sequence 1-12 is missing step(s) [10] — a row may have been lost; verify against source | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase 1
1-,37420,37920,38420,38920,39420,39920,9870
2-,39150,39650,40150,40650,41150,41650,9450
3-,40600,41100,41600,42100,42600,43100,9350
4-,41920,42420,42920,43420,43920,44420,9510
5-,43370,45290,47100,48950,50930,48600,40230
6-,44790,46600,48450,50430,50930,47290,39110
7-,46100,47950,49930,64975,65875,48600,38100
8-,47450,49430,49930,80900,82400,49950,36750
9-,48930,49930,49930,82700,84200,51430,35270
10a,63175,64975,80900,82700,84200,66775,
10b,77600,80600,81200,82700,84200,83600,
11-,76100,79400,79700,81200,82700,83900,8100
12-,76700,78200,79700,81200,82700,84200,7500
12-,76700,78200,79700,81200,82700,84200,7500
