# Pittsburgh_10-15.pdf — School Nurse Practitioners and Dental Hygienists Salary Schedule (Regular 192-Day School Year)
# population: School Nurse Practitioners and Dental Hygienists | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['10a', '10b', '14-']; possible_dropped_row: step sequence 1-14 is missing step(s) [10] — a row may have been lost; verify against source; ocr_unreliable: contains values far above a plausible salary — the OCR of this table may be destroyed; manual review required | audit corrected this table"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39510,40010,40510,41010,41510,42010,42010
2-,41910,42410,42910,43410,43910,44410,43910
3-,43600,44100,44600,45100,45600,46100,45600
4-,44900,45400,45900,46400,46900,47400,46900
5-,44400,44900,45400,45900,46400,46900,46900
6-,46300,46800,47300,47800,48300,48800,48300
7-,47730,48230,48730,49230,49730,50230,49730 / 25.87%
8-,47730,48230,48730,49230,49730,50230,49730 / 23.09%
9-,47730,48230,48730,49230,49730,50230,49730 / 21.16%
10a,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10b,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10a,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10b,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10a,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10b,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10a,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10b,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10a,85200,85200,85200,85200,85200,85200,85200 / 74.40%
10b,85200,85200,85200,85200,85200,85200,85200 / 74.40%
11-,83400,83400,83400,83400,83400,83400,83400 / 74.40%
12-,83700,83700,83700,83700,83700,83700,83700 / 74.40%
13-,84000,84000,84000,84000,84000,84000,84000 / 74.40%
14-,84600,84600,84600,84600,84600,84600,84600 / 74.40%
14-,84600,84600,84600,84600,84600,84600,84600 / 74.40%
14-,84600,84600,84600,84600,84600,84600,84600 / 74.40%
14-,84600,84600,84600,84600,84600,84600,84600 / 74.40%
