# Pittsburgh_10-15.pdf — Bachelor's Degree ()
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: duplicate step_labels: ['10-'] | audit corrected this table
step,June 2010,September 2010,September 2011,September 2012,September 2013,Total Increase¹
1-,37620,38120,39620,39120,39620,1-
2-,37120,39350,40850,40850,41350,2-
3-,38850,41300,43620,43620,44120,3-
4-,40800,42620,44970,44970,46280,4-
5-,42120,43570,45490,45490,47800,5-
6-,43070,44990,46900,46900,49650,6-
7-,44490,46300,48150,48150,50430,7-
8-,45800,47650,49630,49630,51130,8-
9-,47150,49130,51775,51775,53475,9-
10-,75800,77300,78800,78800,81800,10-
10-,75800,77300,78800,78800,81800,10-
