"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — SIGN LANGUAGE/EDUCATIONAL INTERPRETERS (2021-2022, 2022-2023, 2023-2024)"
# population: Sign Language/Educational Interpreters | is_teacher_schedule: False
"# validation_warnings: label_not_in_source: '2021-2022 (Effective July 1, 2021)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2022-2023 (Effective July 1, 2022)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2023-2024 (Effective July 1, 2023)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,"2021-2022 (Effective July 1, 2021)","2022-2023 (Effective July 1, 2022)","2023-2024 (Effective July 1, 2023)"
Level 1,34104,35127,35830
Level 2,36986,38096,38858
Level 3,41000,42230,43075
Level 4,43940,45258,46163
Level 5,47244,48661,49635
Level 6,51041,52572,53623
Level 7,53354,54955,56054
Level 8,55236,56893,58031
Level 9,57184,58899,60077
Level 10,58910,60677,61891
Level 11,60541,62358,63605
Level 12,62066,63928,65206
Level 13,63472,65376,66683
Level 14,64749,66691,68025
Level 15,66052,68033,69394
Level 16,67373,69395,70782
Level 17,68721,70782,72198
