# Cleveland_Teachers_Union_Contract_2021-2024.pdf — MISCELLANEOUS RATES OF PAY (2021-2022 to 2023-2024)
"# population: Miscellaneous staff, substitutes, hourly teachers, and adult education teachers | is_teacher_schedule: False"
"# validation_warnings: possible_dropped_row: step sequence 1-11 is missing step(s) [9] — a row may have been lost; verify against source; label_not_in_source: '2021-2022 (Effective July 1, 2021)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2022-2023 (Effective July 1, 2022)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2023-2024 (Effective July 1, 2023)' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed"
step,"2021-2022 (Effective July 1, 2021)","2022-2023 (Effective July 1, 2022)","2023-2024 (Effective July 1, 2023)"
1. Special Substitute a. Per period as assigned by Principal,27.66,28.49,29.05
1. Special Substitute b. Per day for 1/3 of an elementary or K-8 self-contained class when a substitute teacher is requested but not available,61.68,63.53,64.80
2. In-Service Instructor (including preparation time),46.10,47.49,48.44
3. In-Service Workshop and Curriculum,30.78,31.70,32.33
4. LD Tutors and Hourly Teachers (Primary Job) Step 1,34.29,35.32,36.02
4. LD Tutors and Hourly Teachers (Primary Job) Step 2,35.25,36.30,37.03
4. LD Tutors and Hourly Teachers (Primary Job) Step 3,36.23,37.31,38.06
4. LD Tutors and Hourly Teachers (Primary Job) Step 4,37.19,38.31,39.08
4. LD Tutors and Hourly Teachers (Primary Job) Step 5,38.19,39.34,40.12
4. LD Tutors and Hourly Teachers (Primary Job) Step 6,39.17,40.35,41.15
4. LD Tutors and Hourly Teachers (Primary Job) Step 7,40.12,41.32,42.15
5. Adult Education Teachers Regular Teachers (Primary Job) a. BA Degree,46.03,47.41,48.36
5. Adult Education Teachers Regular Teachers (Primary Job) c. MA Degree,49.03,50.50,51.51
5. Adult Education Teachers Regular Teachers (Primary Job) d. MA Degree + 30 Sem. Hrs,52.03,53.59,54.66
5. Adult Education Teachers Regular Teachers (Primary Job) [Unlabeled],56.04,57.72,58.88
6. School Camp Nurse,222.00,228.66,233.23
7. Homeroom Teacher for Live-in Camp (Per night),94.35,97.18,99.12
8. Hourly rate for Teachers employed by the Board but not under a limited or continuing a. Non-Regular Teaching Employee,31.87,32.82,33.48
8. Hourly rate for Teachers employed by the Board but not under a limited or continuing b. Regular Cleveland Teaching Employee,32.64,33.62,34.29
10. LD Tutors and Hourly Teachers (Secondary Job) Step 1,32.33,33.30,33.97
10. LD Tutors and Hourly Teachers (Secondary Job) Step 2,33.22,34.21,34.90
10. LD Tutors and Hourly Teachers (Secondary Job) Step 3,34.14,35.17,35.87
10. LD Tutors and Hourly Teachers (Secondary Job) Step 4,35.07,36.12,36.85
10. LD Tutors and Hourly Teachers (Secondary Job) Step 5,35.99,37.07,37.81
10. LD Tutors and Hourly Teachers (Secondary Job) Step 6,36.90,38.01,38.77
10. LD Tutors and Hourly Teachers (Secondary Job) Step 7,37.83,38.97,39.75
11. Adult Education Teachers Regular Teachers (Secondary Job) Base Rate,43.38,44.69,45.58
11. Adult Education Teachers Regular Teachers (Secondary Job) b. [Unlabeled],46.21,47.59,48.54
11. Adult Education Teachers Regular Teachers (Secondary Job) c. MA Degree,49.03,50.50,51.51
11. Adult Education Teachers Regular Teachers (Secondary Job) d. MA Degree + 30 Sem. Hours,52.84,54.42,55.51
