"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Social Worker / Parent Education Counselor Salary Schedule (Effective July 1, 2021; Effective July 1, 2022; Effective July 1, 2023)"
# population: Social Workers / Parent Education Counselors | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
step,B.A.,M.A.,B.A.,M.A.,B.A.,M.A.
Step 1,37869,43022,37869,43022,37869,43022
Step 2,39053,44219,39053,44219,39053,44219
Step 3,41392,46581,41392,46581,41392,46581
Step 4,42159,47355,42159,47355,42159,47355
Step 5,44554,49773,44554,49773,44554,49773
Step 6,48089,53346,48089,53346,48089,53346
Step 7,49520,54790,49520,54790,49520,54790
Step 8,51055,56337,51055,56337,51055,56337
Step 9,53067,58369,53067,58369,53067,58369
Step 10,54269,59584,54269,59584,54269,59584
Step 11,55885,61221,55885,61221,55885,61221
Step 12,57464,62818,57464,62818,57464,62818
Step 13,59665,65033,59665,65033,59665,65033
Step 14,60727,66109,60727,66109,60727,66109
Step 15,60727,66109,60727,66109,60727,66109
Step 16,60859,66243,60859,66243,60859,66243
Step 17,60859,66243,60859,66243,60859,66243
Step 18,60859,66243,60859,66243,60859,66243
Step 19,60859,66243,60859,66243,60859,66243
Step 20,60859,66243,60859,66243,60859,66243
Step 21,62174,68050,62174,68050,62174,68050
Step 22,62174,68050,62174,68050,62174,68050
Step 23,62174,68050,62174,68050,62174,68050
Step 24,62174,68050,62174,68050,62174,68050
Step 25,62174,68050,62174,68050,62174,68050
Step 26,63372,69257,63372,69257,63372,69257
Step 27,63372,69257,63372,69257,63372,69257
Step 28,63372,69257,63372,69257,63372,69257
Step 29,63372,69257,63372,69257,63372,69257
Step 30,63372,69257,63372,69257,63372,69257
Step 31,64569,70464,64569,70464,64569,70464
Step 32,64569,70464,64569,70464,64569,70464
Step 33,64569,70464,64569,70464,64569,70464
Step 34,64569,70464,64569,70464,64569,70464
Step 35,64569,70464,64569,70464,64569,70464
Step 36,66955,72876,66955,72876,66955,72876
