# Cleveland_Teachers_Union_Contract_2021-2024.pdf — MISCELLANEOUS ()
# population: Miscellaneous Staff | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,"2021-2022 Effective July 1, 2021","2022-2023 Effective July  1, 2022","2023-2024 Effective July 1, 2023"
840016 Attendance Worker,659,,693
"840017 Attendance Worker, Head",3187,,3348
840040 Audiologist,2791,,2933
840060 Court Representative (Juvenile),1285,,1350
840660 Court Liaison (School),1395,,1465
840085 Cluster/Instructional Resource Guidance,2793,,2935
840090 Cluster/Instructional Resource Reading,1294,1332,1359
840900 Testing Coordinator,3640,,3824
"840051 Psychologist, Ph.D.",3984,,4186
840050 Psychologist,2793,,2935
840860 Schoolnet Liaison - Elementary,1395,,1465
840019 Secondary Consultant,1294,,1359
Social Emotional Learning (SEL) Building Coordinator,2744,,2883
840018 Special Education Consultant,1294,,1359
840670 Split Kindergarten,696,,732
840075 Head Teacher/Special Education,696,,732
Head Teacher/Residential,,,
840070 4 - 9 Teachers,1992,,2093
840071 10 Or More Teachers,3187,,3348
