# Pittsburgh_10-15.pdf — Bachelor's Degree (2010-2014)
# population: Preschool Teachers (Early Intervention Special Education) | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase*
1-,37620,38120,38620,39120,39620,,
2-,39850,40850,42300,40850,41350,,
3-,41800,42300,44120,,,,
4-,43620,45570,,,,,
5-,45070,46990,48300,49650,51130,52850,
6-,46490,48300,50630,52280,,,
7-,47800,49650,51130,52850,,,
8-,49150,51130,52850,,,,
9-,50630,52280,,,,,
10-,52280,54750,55250,55250,55250,55250,
