"# Pittsburgh_10-15.pdf — Master's Degree, Master's Equivalent, Bachelor's + 30 Credits ()"
# population: Certified teachers | is_teacher_schedule: True
# validation_warnings: ocr_unreliable: contains values far above a plausible salary — the OCR of this table may be destroyed; manual review required | audit confirmed
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase¹
1-,39710,40210,42110,43500,44300,46100,48000
2-,41610,43300,45100,47000,48430,50670,50670 / 26.06%
3-,43300,45100,46500,48430,50170,51920,51920 / 21.31%
4-,44600,46500,48430,50170,51420,53290,53290 / 20.84%
5-,46000,47930,49670,51420,52790,54545,54545 / 91.87%
6-,45500,47430,49170,50920,52790,54545,54545 / 91.87%
7-,46930,48670,50420,52290,54300,56465,56465 / 86.02%
8-,48170,49920,51790,53645,55800,58000,58000 / 81.23%
9-,49420,51290,53845,56280,58300,60880,60880 / 76.65%
10a,50790,53300,56945,60280,62800,65510,65510 / 71.88%
10b,79800,81300,82800,84300,85800,87300,87300 / 9.40%
