# Cleveland_Teachers_Union_Contract_2021-2024.pdf — Attendance Specialist & Attendance Liaison / Class 5 #30 Day Care Salary Schedule (2021-2022 to 2023-2024)
"# population: Attendance Specialist, Liaison, and Class 5/Day Care Staff | is_teacher_schedule: False"
# validation_warnings: none | audit corrected this table
step,2021-2022,2022-2023,2023-2024
1 year: 1-4 years,36230,37317,38064
1 year: 5-11 years,37456,38580,39351
1 year: 12-14 years,37634,38763,39538
1 year: 15-16 years,37807,38941,39720
1 year: 16+ years,37983,39123,39905
2 years: 2-4 years,33240,34237,34922
2 years: 5-11 years,34365,35396,36104
2 years: 12-14 years,34528,35563,36275
2 years: 15-16 years,34688,35729,36444
2 years: 16+ years,34848,35893,36611
3 years: 3-4 years,24002,24012,24022
3 years: 5-11 years,24168,25059,25909
3 years: 12-14 years,26188,27090,27954
3 years: 15-16 years,40582,41594,42360
3 years: 16+ years,41069,42301,43147
6-20 years: 6-11 years,40312,41522,42352
21-25 years: 16+ years,42219,43485,44355
26-30 years: 16+ years,43687,44998,45898
31-35 years: 16+ years,45500,46865,47803
36 years: 16+ years,47664,49094,50076
Class 5 #30 Day Care: 12-14 years,37634,38763,39538
Class 5 #30 Day Care: 15-16 years,37807,38941,39720
5 years: 5-11 years,38708,39870,40667
