"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — DIFFERENTIAL LISTINGS ALL EXTRACURRICULAR ACTIVITIES ARE CONTINGENT UPON AVAILABLE FUNDS (Effective July 1, 2021)"
# population: Senior High | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['Asst Coach, Track, Outdoor Only,'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,"2021-2022 Effective July 1, 2021","2022-2023 Effective July 1, 2022","2023-2024 Effective July 1, 2023"
"Athletic Director, Sr",5980,,
"Coach, Baseball, Sr",*,,
"Coach, Basketball, Boys, Sr",*,,
"Coach, Basketball, Girls, Sr",*,,
"Coach, Bowling, Sr",*,,
"Coach, Cross Country, Boys, Sr",1693,,
"Coach, Cross Country, Girls, Sr",1693,,
"Coach, Fencing, Sr",*,,
"Coach, Football, Sr",3983,,
"Coach, Golf, Sr",1693,,
"Coach, Gymnastics, Sr.",*,,
"Coach, Soccer, Sr",1693,,
"Coach, Softball, Girls, Sr",*,,
"Coach, Swimming",*,,
"Coach, Tennis, Boys, Sr",,,
"Coach, Tennis, Girls, Sr",1693,,
"Coach, Track, Boys, Sr",*,,
"Coach, Track, Girls, Sr",*,,
"Coach, Track, Outdoor Only, Boys",*,,
"Coach, Track, Outdoor Only, Girls",*,,
"Coach, Volleyball, Girls, Sr",3983,,
"Coach, Wrestling, Sr",*,,
"Asst Coach, Baseball, Sr",*,,
"Asst Coach, Basketball, Boys, Sr",*,,
"Asst Coach, Basketball, Girls, Sr",*,,
"Asst Coach, Cross Country, Boys,",1412,,
"Asst Coach, Cross Country, Girls,",1412,,
"Asst Coach, Football, Sr",2273,,
"Asst Coach, Gymnastics, Sr.",*,,
"Asst Coach, Soccer, Sr",1412,,
"Asst Coach, Softball, Girls, Sr",*,,
"Asst Coach, Swimming",*,,
"Asst Coach, Track, Boys, Sr",*,,
"Asst Coach, Track, Girls, Sr",*,,
"Asst Coach, Track, Outdoor Only,",*,,
"Asst Coach, Track, Outdoor Only,",*,,
"Asst Coach, Volleyball, Sr",2273,,
"Asst Coach, Wrestling, Sr",*,,
"Intramural Director, Boys, Sr",1597,1644,1677
"Intramural Director, Girls, Sr",1597,1644,1677
"Band Director, Sr",2392,2463,2513
"Orchestra Director, Sr",1195,1231,1255
"Vocal Music Director, Sr",1792,1846,1883
"Drill Team, Sr (Minimum 12",1739,1791,1827
"Highsteppers, Sr (Minimum 12",1739,1791,1827
"Cheerleader Sponsor, Sr",1739,1791,1827
"Dramatics Director, Sr",2392,2463,2513
"Newspaper Advisor, Sr",2793,2877,2935
"Year Book Advisor, Sr",2631,2710,2764
"Majorettes, Sr (Minimum 7",869,895,913
"Flag Squad, Sr (Minimum 7",869,895,913
Testing Coordinator,3640,3749,3824
