"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — MIDDLE/ K-8 SCHOOLS (Effective July 1, 2021)"
# population: Middle School / K-8 | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,"2021-2022 Effective July 1, 2021","2022-2023 Effective July 1, 2022","2023-2024 Effective July 1, 2023"
"Athletic Director, Intermediate (Must have responsibilities for",1993,,
"Coach, Basketball, Boys, Intermediate**",*,,
"Coach, Basketball, Girls, Intermediate**",*,,
"Coach, Fencing, Middle",*,,
"Coach, Golf, Middle",1693,,
"Coach, Soccer, Intermediate",1693,,
"Coach, Track, Boys, Intermediate",*,,
"Coach, Track, Girls, Intermediate",*,,
"Coach, Volleyball, Girls, Intermediate",1693,,
"Coach, Wrestling, Intermediate",*,,
"Asst Coach, Track, Boys, Intermediate",*,,
"Asst Coach, Track, Girls, Intermediate",*,,
"Asst Coach, Soccer, Intermediate",856,,
"Intramural Director, Boys, Intermediate",1597,1644,1677
"Intramural Director, Girls, Intermediate",1597,1644,1677
"Newspaper Advisor, Intermediate",1195,1231,1255
"Vocal Music Director, Intermediate",1195,1231,1255
"Instrumental Music Director, Intermediate",1195,1231,1255
"Majorettes, Intermediate (Minimum 7 Students)",869,895,913
"Flag Squad, Intermediate (Minimum 7 Students)",869,895,913
"Military Drill Team, Intermediate (Min. 7 Students)",869,895,913
"Highsteppers, Intermediate (Min. 7 Students)",869,895,913
Cheerleader Advisor,869,895,913
Testing Coordinator,3642,3751,3826
