"# Columbus_Education_Association_2022-2025.pdf — Teacher Salary Schedules (August 22, 2022)"
# population: teachers and school nurses | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Pre-License Bachelor’s Degree,Bachelor’s Degree,150 Hours and Bachelor’s Degree,Master’s Degree,Master’s Degree + 30 Semester Hours,Ph.D.
0,40882,51294,52780,56884,57961,61671
1,40882,51294,52780,58014,59141,62926
2,42523,53346,54884,59141,60321,64181
3,44214,55500,57089,61501,62733,66746
4,46010,57707,59347,63964,65195,69366
5,47806,60013,61758,66528,67808,72149
6,49755,62423,64220,69195,70529,75042
7,49755,64886,66784,71963,73350,78043
8,49755,67502,69450,74836,76324,81208
9,49755,70222,72220,77812,79350,84428
10,49755,72990,75094,80940,82529,87812
11,49755,75914,78118,84172,85812,91305
12,49755,78992,81249,87558,89249,94961
13,49755,82120,84480,91044,92840,98782
14,49755,85404,87865,94688,96532,102710
15,49755,88840,91403,98613,100563,106990
16,49755,89057,91622,98962,100910,107339
17,49755,89276,91841,99180,101129,107556
18,49755,89276,91841,99180,101129,107556
19,49755,90264,92827,100166,102117,108544
20,49755,91248,93813,101153,103103,109530
21,49755,91248,93813,101153,103103,109530
22,49755,91248,93813,101153,103103,109530
23,49755,92761,95327,102666,104617,111044
24,49755,94277,96842,104180,106131,112558
25,49755,94277,96842,104180,106131,112558
26,49755,94277,96842,104180,106131,112558
27,49755,96369,98934,106275,108225,114652
28,49755,98463,101026,108367,110317,116744
29,49755,98463,101026,108367,110317,116744
30,49755,100653,103216,110558,112509,118935
31,49755,102843,105408,112747,114696,121124
