# Pittsburgh_10-15.pdf — School Nurse Practitioners and Dental Hygienists Salary Schedule - Bachelor's Degree Salary Schedule --- Regular 192-Day School Year* (June 2010)
# population: School Nurse Practitioners and Dental Hygienists | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: ['12-']; possible_dropped_row: step sequence 1-12 is missing step(s) [10] — a row may have been lost; verify against source | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,37420,37920,38420,38920,39420,39920,9870
2-,39150,39650,40150,40650,41150,41650,9450
3-,40600,41100,41600,42100,42600,43100,9350
4-,41920,42420,42920,43420,44420,45420,9510
5-,43370,43420,43920,45370,47290,49950,40230
6-,44790,45900,46800,48290,49950,51430,39110
7-,46100,47100,47600,48600,49950,51430,38100
8-,47450,48450,48950,49950,51430,51430,36750
9-,48930,49930,50430,51430,51430,51430,35270
10a,43370,45420,46850,48450,66775,83600,
10b,44790,46790,48790,50390,83600,83900,
11-,46100,48100,50100,51700,83900,84200,
12-,49930,51930,52930,53930,84200,84200,7500
12-,49930,51930,52930,53930,84200,84200,7500
12-,49930,51930,52930,53930,84200,84200,7500
