# Pittsburgh_10-15.pdf — Social Workers Salary Schedule (June 2010)
# population: Social Workers | is_teacher_schedule: False
# validation_warnings: possible_dropped_row: step sequence 1-14 is missing step(s) [10] — a row may have been lost; verify against source | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39510,40510,41510,42010,43910,46900,10220
2-,41410,42410,43410,44600,46400,48300,9560
3-,43100,44100,45400,46800,47800,50970,9120
4-,44400,45900,47300,48700,49200,53590,9190
5-,45800,47730,49470,51220,53090,87900,41800
6-,47230,48970,50720,52590,53090,88200,40670
7-,48470,50220,52090,52590,86400,88500,39730
8-,49720,51590,53090,84900,86700,89100,38780
9-,51090,51590,83400,85200,87000,89100,38010
10a,80100,81600,83700,85500,87600,89100,9000
10b,80400,81600,84000,84600,86400,89100,8700
11-,80700,82500,84900,86700,88500,89100,8400
12-,81000,83100,85200,87000,88200,89100,8100
13-,81300,83600,85700,87600,88500,89100,7500
14-,81600,84000,86100,87600,89100,89100,7500
