"# Pittsburgh_10-15.pdf — Master's Degree, Master's Equivalent, Bachelor's + 30 Credits (June 2010 - September 2014)"
# population: Master's Degree teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39210,39710,40210,40710,41210,41710,10220
2-,41110,41610,42110,42610,43110,43610,9560
3-,42800,43300,43800,44300,44800,45300,9120
4-,44100,46000,45500,47000,46100,48000,9190
5-,45500,47430,49170,50920,52790,48000,41800
6-,46930,48670,50420,52290,54645,49430,40370
7-,48170,49920,51790,53745,55800,50670,39130
8-,49420,51290,53820,55890,57800,51920,37880
9-,50790,52645,55220,57220,59200,53290,36510
10a,65945,65945,82800,85800,87300,87300,
10b,79800,81300,82800,84300,85800,87300,
10-,79800,81300,82800,84300,85800,87300,7500
