# Pittsburgh_10-15.pdf — Social Workers Salary Schedule (June 2010 - September 2014)
# population: Social Workers | is_teacher_schedule: False
# validation_warnings: possible_dropped_row: step sequence 1-14 is missing step(s) [10] — a row may have been lost; verify against source | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,39510,40010,40510,41010,41510,42010,10220
2-,41410,41910,42410,42910,43410,43910,9560
3-,43100,43600,44100,44600,45100,45600,9120
4-,44400,44900,45400,45900,46400,46900,9190
5-,45800,47730,49470,51220,53090,53590,41800
6-,47230,48970,50720,52590,53090,53590,39730
7-,48470,50220,52090,53090,53590,52220,38780
8-,49720,51590,52090,53090,53590,53090,38010
9-,51090,52090,53090,53590,53590,53590,9000
10a,45800,47730,49470,51220,53090,69845,41800
10b,,,,,86100,87600,41800
11-,51090,52090,53090,53590,87000,88200,8700
12-,80100,81900,83700,85500,87000,88500,8400
13-,80400,82200,84000,86100,87600,89100,8100
14-,80700,82500,84600,86100,87600,89100,7500
