"# Pittsburgh_10-15.pdf — Preschool Teachers (Early Intervention Special Education), Level III Salary Schedules ()"
"# population: Preschool Teachers (Early Intervention Special Education), Level III | is_teacher_schedule: True"
# validation_warnings: cross_grid_contamination: a value column matches a column in a different schedule (p30) — one grid's data may be contaminated from another; verify | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,June 2010,September 2011,September 2012,September 2013,September 2014,Total Increase
1-,37120,38120,38620,39120,39620,9870
2-,38850,39850,40350,40850,41350,9450
3-,40300,41300,41800,42300,42800,9350
4-,41620,42620,43120,43620,44120,9510
5-,43070,44070,44570,45070,45570,12180
6-,44490,45490,45990,46490,46990,10760
7-,45800,46800,47300,47800,48300,9450
8-,47150,48150,48650,49150,49650,8100
9-,48630,49630,50130,50630,51130,6620
10-,52750,53750,54250,54750,55250,2500
