# ATF-Negotiated-Agreement_2018-19.pdf — Appendix A.2 2018-2019 Salary Matrix AT-2 (2018-2019)
"# population: Licensure Level 2 Teachers & Librarians and Career Pathway Level 2 Counselors, Nurses, Social Workers & Interpreters | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,BA,BA+15,BA+45,MA,MA+15,MA+45,Doctorate
1,44000,44198,44397,44597,44797,44999,45201
2,44001,44199,44398,44598,44798,45000,45202
3,44002,44200,44399,44599,44799,45001,45203
4,44003,44201,44400,44600,44800,45002,45204
5,44004,44202,44401,44601,44801,45003,45205
6,44005,44203,44496,44701,44901,45038,45220
7,44006,44204,44601,44702,45096,45303,45320
8,44007,44205,44606,44703,45097,45304,45465
9,44008,44206,44611,44704,45098,45305,45510
10,44009,44207,44616,44705,45099,45306,45555
11,44010,44208,44617,44706,45100,45307,45600
12,44011,44209,44618,44707,45101,45308,45645
13,44012,44210,44619,44708,45102,45309,45690
14,44013,44290,44620,44709,45103,46049,46090
15,44398,44615,44945,45059,45493,46050,46490
16,44399,44616,44946,45060,45494,46051,47535
17,44400,44617,45496,45560,46064,46071,47536
18,44401,45167,45497,45561,46065,46072,47981
19,44402,45168,46262,46271,46855,47417,47982
20,44403,45713,46263,46272,46856,47418,47983
21,44404,45714,46264,46273,46857,47419,47984
22,44405,45715,46265,46274,48002,49964,49984
23,44406,45716,48000,48024,48032,49965,49985
24,44946,45717,48001,48025,48347,50820,50985
25,46731,47422,48002,48026,50547,50821,50986
26,46732,47423,48003,48027,50548,50822,50987
27,46733,47424,48004,48028,50549,50823,53632
28,46734,47425,49409,49428,50550,50824,53633
29,46735,47426,49410,49429,50551,53769,54233
30,46736,50351,50440,50454,50552,54084,54234
31,47626,50352,50441,50455,50657,54085,54235
32,47627,50353,50442,50456,50658,54086,54236
33,50352,50354,51122,51181,51383,54087,54237
34,50353,50379,51907,51931,51983,54088,54238
35,50354,51149,51908,52306,52583,54089,54239
36,50355,52424,54553,54566,54583,59714,59864
37,50356,53694,54554,54567,57933,60999,61149
38,50357,54964,57124,57142,58533,61099,61150
