"# ATF-Negotiated-Agreement_2018-19.pdf — Appendix A.5 2018-2019 Salary Matrix A-3/4, Educational Diagnosticians, Transition Specialists And Licensed School Psychologists (2018-2019)"
"# population: Educational Diagnosticians, Transition Specialists And Licensed School Psychologists | is_teacher_schedule: False"
# validation_warnings: none | audit confirmed
step,MA,MA+15,MA+45,PHD
1,54000,56000,57000,59000
2,54001,56001,57001,59001
3,54002,56002,57002,59002
4,54003,56003,57003,59412
5,54004,56004,57004,59413
6,54005,56005,57005,59414
7,54006,56006,57006,59415
8,54007,56007,57007,59416
9,54008,56008,57008,59417
10,54009,56009,57009,59418
11,54010,56010,57929,59419
12,59020,59040,59565,62294
13,59021,59041,59566,62844
14,59022,59042,61206,62845
15,59023,59043,61207,62846
16,59024,59044,61208,65576
17,59025,59045,61209,65577
18,59026,59046,61210,65578
19,59027,59047,61211,65579
20,59028,59048,61212,65580
21,68858,68878,68898,68918
22,68859,68879,68899,72133
23,68860,72134,72154,75413
24,68861,72135,72155,75414
25,68862,75410,75430,78689
26,68863,75411,75431,78690
27,68864,75412,75432,78691
28,68865,75413,75433,81971
29,68866,76503,79788,84972
30,68867,76504,79789,86347
31,68868,76505,79790,86348
32,68869,76506,79791,86349
33,68870,76507,79792,86350
34,68871,76508,79793,86351
35,68872,76509,79794,86352
36,68873,76510,79795,86353
37,68874,76511,79796,86354
38,68875,76512,79797,86355
39,68876,76513,79798,86356
40,68877,76514,79799,86357
