"# MCEA-Contract-FY15-FY17-3-15-14.pdf — 10-Month Salary Schedule (November 29, 2014)"
# population: 10-month teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BA,MA/MEQ,MA/MEQ+30,MA/MEQ+60
1,47106,51895,53419,54800
2,47832,52766,55013,56395
3,49266,54797,57130,58567
4,50745,56907,59331,60821
5,52266,59098,61615,63162
6,54280,61373,63987,65594
7,56370,63736,66451,68121
8,58539,66190,69010,70742
9,60793,68739,71666,73467
10,63134,71385,74425,76295
11,,74134,77290,79232
12,,76988,80265,82282
13,,79952,83356,85450
14,,83029,86564,88739
15,,85520,89162,91402
16,,88087,91837,94144
17,,90729,94592,96968
18,,93450,97430,99878
19,,96254,100353,102874
20,,96254,100353,102874
21,,96254,100353,102874
22,,96254,100353,102874
23,,96254,100353,102874
24,,96254,100353,102874
25,,98420,102611,105189
