"# MCEA-Contract-FY15-FY17-3-15-14.pdf — 10-Month Salary Schedule (October 3, 2015)"
# population: 10-Month | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,BA,MA/MEQ,MA/MEQ+30,MA/MEQ+60
1,48048,52933,54488,55896
2,48789,53821,56113,57523
3,50251,55893,58273,59738
4,51760,58045,60517,62037
5,53312,60280,62847,64426
6,55366,62600,65266,66906
7,57497,65011,67780,69483
8,59710,67514,70390,72157
9,62009,70114,73099,74936
10,64397,72813,75913,77820
11,,75616,78836,80817
12,,78528,81870,83928
13,,81551,85023,87159
14,,84690,88296,90514
15,,87230,90945,93230
16,,89849,93674,96027
17,,92543,96484,98907
18,,95319,99378,101876
19,,98180,102360,104932
20,,98180,102360,104932
21,,98180,102360,104932
22,,98180,102360,104932
23,,98180,102360,104932
24,,98180,102360,104932
25,,100389,104664,107292
