# PEA_Contract_2019-2022_(Teachers).pdf — Experience-Based Salary Schedule (2019-2020)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
step,B,M,MI,D
1,36806,40312,42064,43818
2,38560,42064,43818,45571
3,40312,43818,45571,47324
4,42064,45571,47324,49076
5,43467,47324,49076,50828
6,44868,48724,50477,52229
7,46271,50127,51881,53633
8,47673,51529,53282,55035
9,49076,52932,54683,56437
10,50477,54333,56086,57839
11,51881,55736,57488,59242
12,53282,57139,58891,60643
13,54683,58540,60293,62045
14,56086,59942,61695,63447
15,57313,61170,62922,64675
16,58540,62395,64148,65901
17,59767,63623,65375,67128
18,59767,64850,66602,68356
19,59767,64850,67829,69582
20,59767,64850,67829,69582
21,60819,65901,68881,70633
22,60819,65901,68881,70633
23,60819,65901,68881,70633
24,60819,65901,68881,70633
25,60819,65901,68881,70633
26,61695,66778,69757,71510
27,61695,66778,69757,71510
28,61695,66778,69757,71510
29,61695,66778,69757,71510
30,61695,66778,69757,71510
