# PEA_Contract_2019-2022_(Teachers).pdf — Professional Learning-Based Salary Schedule (2019-2020)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Lane I,Lane II,Lane III,Lane IV,Lane V
1,39611,46096,55385,64675,73963
2,39611,47497,56787,66075,75365
3,39611,48899,58190,67479,76769
4,41013,50302,59591,68881,78170
5,42415,51704,60994,70283,79572
6,43818,53107,62395,71685,80974
7,45220,54509,63798,73088,82377
8,46622,55911,65201,74490,83780
9,48023,57313,66602,75891,85180
10,49425,58715,68003,77294,86583
