# PEA_Contract_2019-2022_(Teachers).pdf — Experience-Based Salary Schedule (2020-2021)
# population: certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,B,M,MI,D
1,39788,43578,45472,47367
2,41682,45472,47367,49262
3,43578,47367,49262,51158
4,45472,49262,51158,53049
5,46989,51158,53049,54946
6,48505,52672,54566,56461
7,50020,54188,56083,57977
8,51535,55704,57597,59494
9,53049,57220,59114,61008
10,54566,58736,60630,62524
11,56083,60251,62146,64041
12,57597,61767,63661,65555
13,59114,63281,65177,67072
14,60630,64797,66693,68587
15,61957,66125,68018,69914
16,63281,67450,69346,71240
17,64610,68776,70671,72566
18,64610,70104,71997,73892
19,64610,70104,73325,75219
20,64610,70104,73325,75219
21,65746,71240,74461,76356
22,65746,71240,74461,76356
23,65746,71240,74461,76356
24,65746,71240,74461,76356
25,65746,71240,74461,76356
26,66693,72188,75408,77304
27,66693,72188,75408,77304
28,66693,72188,75408,77304
29,66693,72188,75408,77304
30,66693,72188,75408,77304
