# PEA_Contract_2019-2022_(Teachers).pdf — Experience-Based Salary Schedule (2021-2022)
# population: Teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,B,M,MI,D
1,38670,42353,44194,46036
2,40512,44194,46036,47878
3,42353,46036,47878,49719
4,44194,47878,49719,51560
5,45668,49719,51560,53401
6,47140,51191,53032,54873
7,48614,52665,54507,56348
8,50086,54138,55979,57821
9,51560,55612,57452,59294
10,53032,57084,58926,60767
11,54507,58557,60399,62241
12,55979,60031,61872,63714
13,57452,61503,63345,65186
14,58926,62977,64818,66659
15,60215,64266,66107,67950
16,61503,65554,67396,69238
17,62792,66844,68685,70526
18,62792,68133,69974,71816
19,62792,68133,71262,73105
20,62792,68133,71262,73105
21,63898,69238,72368,74209
22,63898,69238,72368,74209
23,63898,69238,72368,74209
24,63898,69238,72368,74209
25,63898,69238,72368,74209
26,64818,70159,73288,75130
27,64818,70159,73288,75130
28,64818,70159,73288,75130
29,64818,70159,73288,75130
30,64818,70159,73288,75130
