# Seattle_final_CBA_2018-2019.pdf — APPENDIX E CERTIFICATED NON-SUPERVISORY SPECIAL & SUPPLEMENTAL ASSIGNMENTS COMPENSATION SCHEDULE 2018-2019 (2018-2019)
# population: Certificated Non-Supervisory Special & Supplemental Assignments | is_teacher_schedule: False
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
step,value
INTRAMURALS ELEM,2295.77
INTRAMURALS SEC,2415.14
BUILDING LEADERSHIP TEAM,3622.51
DEPT HEAD I: 30 or more classes or 7 or more FTE's,3477.58
DEPT HEAD II: 16-29 classes or 4-6 FTE's,2909.82
DEPT HEAD III: 6-15 classes or 2-3 FTE's,2496.89
DEPT HEAD IV: 1-5 classes or 0.2-1 FTE,1622.66
ELEM CURRICULUM,1833.42
ELEM INSTRUCTION,1833.42
ELEM MUSIC (CHORAL),1068.87
EQUITY TEAM,2500.00
INSTRUCTIONAL LIAISON,1833.42
SUBJ MATT SPEC 1,2071.07
SUBJ MATT SPEC II,1665.67
SUBJ MATT SPEC III,1410.82
SUBJ MATT SPEC IV,1306.51
TEAM LEADER I: 7 or more FTE's,3477.58
TEAM LEADER II: 4-6 FTE's,2909.82
TEAM LEADER III: 2-3 FTE's,2496.89
TEAM LEADER IV: 0.2-1 FTE,1622.66
Educational Tech Leader I (Elem Level),1833.42
Educational Tech Leader I (Sec Level),2071.07
Chemical Hygiene Officer I,1398.99
Chemical Hygiene Officer II,1165.65
Chemical Hygiene Officer III,874.24
Level 1 School,2000.00
Demonstration Teacher,2575.00
Mentor Teacher,3605.00
Master Teacher,5356.00
Teacher Advisory Council,1030.00
Teen Truancy Board Advisor,2060.00
