# FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf — CERTIFICATED EMPLOYEES FACTOR PLACEMENT SCHEDULE (2005)
# population: Certificated Employees | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Time Factor,Responsibility Factor,Total Factor,Work Days
Community Education Specialist,1.1189,,1.1189,207
"Teachers, Nurses",1.00,,1.00,185
Speech Therapists,1.00,,1.00,185
Teacher on Special Assignment,1.00,,1.00,185
Supervisor/Specialist/Work Experience,1.0216,,1.0216,189
Program Advisors,1.0486,,1.0486,194
Resource Teachers,1.0486,,1.0486,194
RSP Teachers at Year-Round School,1.0486,,1.0486,194
Teacher on Special Assignment Programs,1.0973,,1.0973,203
Staff Development,1.0973,,1.0973,203
Librarians,1.0486,,1.0486,194
"Teacher Special Assignment, SARB",1.0486,0.09,1.0386,194
Teacher Lori Ann Infant Center,1.0811,,1.0811,200
