"# FTA-Fresno-Teachers-Association_CBA_2010-2012.pdf — Basic Salary Schedule, Effective July 1, 2007 Schedule A – JROTC INSTRUCTORS - ARMY 218* Duty Days (Effective July 1, 2007)"
# population: JROTC Instructors | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,CLASS I (A01) Preliminary Cred,CLASS II (A02) Clear Cred,CLASS III (A03) Clear Cred + 15,CLASS IV (A04) Clear Cred + BA
0,45186.97,47898.19,50609.41,53320.61
1,47898.19,50609.41,53320.61,56031.83
2,50609.41,53320.61,56031.83,58743.06
3,53320.61,56031.83,58743.06,61454.28
4,56031.83,58743.06,61454.28,64165.50
5,58743.06,61454.28,64165.50,66876.71
6,61454.28,64165.50,66876.71,69587.92
7,64165.50,66876.71,69587.92,72299.15
8,,69587.92,72299.15,75010.37
9,,,75010.37,77721.58
10,,,,80432.80
