document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,3,"The School Board/Association contract shall be the document, which governs wages and hours, terms and conditions of employment for employees in the unit.",The School Board/Association contract,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,3,"Any policy, procedure, guideline or administrative directive in conflict with said contract shall be considered null and void.","Any policy, procedure, guideline or administrative directive in conflict with said contract",other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,3,"Faculty handbooks, county-wide publications and other guides shall conform to the provisions of the contract.","Faculty handbooks, county-wide publications and other guides",other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,3,"Upon conclusion of negotiations, the respective parties shall implement the ratification process as outlined under the applicable provisions of PERC Rule Chapter 38D-20.",the respective parties,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,other,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,3,"In the event of a declaration of impasse, all applicable provisions of FS 447 and PERC Rule Chapter 38D-19 shall be implemented.",all applicable provisions of FS 447 and PERC Rule Chapter 38D-19,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,4,The appropriateness of any new class or division of employees belonging to the bargaining unit shall be determined jointly by the Board and the Association.,The appropriateness of any new class or division of employees belonging to the bargaining unit,worker,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,joint action by management and worker
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,4,"If agreement is not possible, the matter shall be referred to the Public Employees Relations Commission.",the matter,other,worker,shall,False,passive,plain,obligation,obligation,True,1.0,discipline,True,implicit agent; referral to external body
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,4,"Organization rights pursuant to the provisions of Chapter 447.09 are granted to the certified exclusive bargaining agent, the Hillsborough Classroom Teachers Association,",Organization rights pursuant to the provisions of Chapter 447.09,management,worker,,False,passive,rights_passive,right,right,True,0.85,teacher_rights_and_conduct,True,
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,4,"and such rights shall not be granted to any other association, union or employee organization.",such rights,management,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,teacher_rights_and_conduct,True,continuation of 1.4.1
hillsborough_county_public_schools__hillsborough_contract_teacher_2013_2016__0929c4c0,Hillsborough_Contract_Teacher_2013_2016.pdf,Hillsborough County Public Schools,4,"The work year shall be 198 days for ten month teachers, 203 days for ten and one-half month teachers, 213 days for eleven month teachers, and 253 days for twelve month teachers as determined by the School Board Calendar.",The work year,other,worker,shall,False,active,plain,obligation,obligation,True,1.0,workload,True,
