document_id,file_name,district_name,chunk_index,quote,subject_text,acting_party,protected_party,modal,negation,voice,verb_lexical_category,statement_type,llm_judgment,statement_type_match,modal_strength,topic,quote_verified,notes
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,MOUs may temporarily modify or suspend specific contract provisions to address unusual situations that may arise,MOUs,other,management,may,False,active,plain,permission,permission,True,0.3,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,a MOU may not permanently modify this collective bargaining agreement.,a MOU,other,worker,may,True,active,plain,prohibition,prohibition,True,0.3,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,All MOUs must be reported to the Board,All MOUs,other,management,must,False,passive,plain,obligation,obligation,True,1.0,other,False,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,MOUs do not require Board approval.,MOUs,other,management,,True,active,plain,prohibition,right,False,0.0,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,MOAs will not become effective except upon approval by the Board.,MOAs,other,management,will,True,active,plain,prohibition,prohibition,True,0.9,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,5,"The Board of Education of Jefferson County, Kentucky hereby specifically retains and reserves unto itself, the Superintendent, the Principal/administrator, or designee, and other administrative personnel of the school system all powers, rights, authority, duties and responsibilities, and the exercise thereof, as conferred upon and delegated to and vested in them by the Constitutions and the Laws and Regulations of the United States of America and the Commonwealth of Kentucky except as otherwise specifically provided for in this agreement.","The Board of Education of Jefferson County, Kentucky",management,management,,False,active,plain,other,other,True,0.0,other,True,Reservation of authority clause.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,6,"The Parties agree that the Association as representative of employees shall have the right to use the school system’s courier service (to the extent permitted by statute, regulation or court order) and employee distribution boxes for the purpose of distributing Association communiqués to employees.",The Parties,other,worker,shall,False,active,plain,obligation,right,False,1.0,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,6,shall not be opened by any person other than the addressee.,Such communiqués,other,worker,shall,True,passive,plain,prohibition,prohibition,True,1.0,other,True,Implicit subject from preceding clause.
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,6,The Association shall have the privilege of posting notices of the activities and matters of Association concern on employee bulletin boards,The Association,worker,worker,shall,False,active,permission_verb,permission,permission,True,1.0,other,True,
jefferson_county_public_schools__jefferson_county_ky_2018_2026_contract__538c4c0b,Jefferson_County_KY_2018-2026_Contract.pdf,Jefferson County Public Schools,6,at least one of which shall be provided in each school.,at least one of which,management,worker,shall,False,passive,plain,obligation,obligation,True,1.0,other,True,
