# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 Development Center/Early Education Center Degree Differentials (2014-2015)
# population: Development Center/Early Education Center staff | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,MA Degree,DR Degree
A Basis,747,1494
A Basis (Hourly),0.35772,0.71552
C Basis (6 hour),584,1168
C Basis (6 hour) (Hourly),0.47696,0.95402
C Basis (8 hour),584,1168
C Basis (8 hour) (Hourly),0.35772,0.71552
E Basis (8 hour),670,1339
E Basis (8 hour) (Hourly),0.35772,0.71552
