# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 PREPARATION SALARY (L) TABLE (4 %) (2014-2015)
"# population: Alternative Certification employees (Bachelor's degree, emergency/intern credentials) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5,6,7,8,9,10,11,12,13,14
20 (Minimum) C Basis,41380,41380,41380,42099,44270,44731,46114,47665,49858,52073,,,,
20 (Minimum) B Basis,44828,44828,44828,45608,47959,48458,49956,51637,54013,56413,,,,
20 (Minimum) A Basis,52966,52966,52966,53887,56665,57255,59025,61012,63818,66654,,,,
21 (+ 14 points) C Basis,41380,41380,41739,43381,45102,46777,48554,50308,52028,54356,,,,
21 (+ 14 points) B Basis,44828,44828,45218,46996,48860,50675,52600,54500,56364,58886,,,,
21 (+ 14 points) A Basis,52966,52966,53427,55528,57730,59875,62149,64394,66596,69575,,,,
22 (+ 28 points) C Basis,41380,41739,43449,45383,47216,49150,50994,52973,54828,57178,,,,
22 (+ 28 points) B Basis,44828,45218,47069,49165,51150,53245,55243,57387,59397,61943,,,,
22 (+ 28 points) A Basis,52966,53427,55614,58090,60436,62912,65272,67805,70180,73188,,,,
23 (+ 42 points) C Basis,41739,43415,45383,47350,49464,51500,53524,55525,57561,60214,,,,
23 (+ 42 points) B Basis,45218,47033,49165,51296,53587,55791,57984,60152,62357,65232,,,,
23 (+ 42 points) A Basis,53427,55571,58090,60609,63315,65920,68510,71072,73677,77074,,,,
24 (+ 56 points) C Basis,43415,45079,47216,49464,51590,53805,55998,58123,60394,63149,,,,
24 (+ 56 points) B Basis,47033,48836,51150,53587,55889,58289,60664,62966,65427,68411,,,,
24 (+ 56 points) A Basis,55571,57701,60436,63315,66035,68870,71677,74397,77304,80831,,,,
25 (+ 70 points) C Basis,44922,46811,49195,51500,53816,56166,58516,60788,63138,66140,,,,
25 (+ 70 points) B Basis,48665,50712,53294,55791,58301,60847,63393,65853,68399,71652,,,,
25 (+ 70 points) A Basis,57500,59918,62969,65920,68885,71893,74901,77808,80816,84659,,,,
26 (+ 84 points) C Basis,46710,48554,51005,53524,55998,58528,60956,63396,65915,69086,,,,
26 (+ 84 points) B Basis,50602,52600,55255,57984,60664,63405,66036,68679,71408,74843,,,,
26 (+ 84 points) A Basis,59788,62149,65286,68510,71677,74915,78024,81147,84371,88430,,,,
27 (+ 98 points) C Basis,48070,50308,52973,55525,58145,60821,63408,66050,68670,72133,72471,72786,73100,73426
27 (+ 98 points) B Basis,52076,54500,57387,60152,62991,65890,68692,71554,74393,78144,78510,78851,79192,79545
27 (+ 98 points) A Basis,61530,64394,67805,71072,74426,77851,81162,84544,87898,92331,92763,93165,93569,93986
