# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 PREPARATION SALARY (T) TABLE (4%) (2014-2015)
"# population: employees holding regular credentials (i.e., non-emergency, non-intern) and a Bachelor's Degree, or possession of certain vocational or industrial arts credentials | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,1,2,3,4,5,6,7,8,9,10
20 - C Basis,47463,47519,48025,48531,48587,48666,50060,51230,52995,54502
20 - C Basis (Monthly),3955.24,3959.94,4002.10,4044.27,4048.95,4055.51,4171.70,4269.16,4416.27,4541.84
20 - B Basis (Minimum),51418,51479,52027,52575,52636,52722,54232,55499,57411,59044
20 - B Basis (Minimum) (Monthly),4284.85,4289.93,4335.60,4381.29,4386.37,4393.47,4519.34,4624.92,4784.29,4920.32
20 - A Basis,60753,60825,61472,62120,62192,62293,64077,65574,67834,69763
20 - A Basis (Monthly),5062.72,5068.71,5122.69,5176.66,5182.66,5191.05,5339.79,5464.52,5652.82,5813.55
21 - C Basis,47519,48025,48531,48587,48666,50544,51230,53524,55064,56897
21 - C Basis (Monthly),3959.94,4002.10,4044.27,4048.95,4055.51,4212.00,4269.16,4460.31,4588.69,4741.42
21 - B Basis (+ 14 points),51479,52027,52575,52636,52722,54756,55499,57984,59653,61639
21 - B Basis (+ 14 points) (Monthly),4289.93,4335.60,4381.29,4386.37,4393.47,4563.00,4624.92,4832.01,4971.08,5136.55
21 - A Basis,60825,61472,62120,62192,62293,64696,65574,68510,70482,72828
21 - A Basis (Monthly),5068.71,5122.69,5176.66,5182.66,5191.05,5391.35,5464.52,5709.19,5873.52,6069.02
22 - C Basis,48025,48081,48587,48666,50319,52276,54041,55615,57212,59854
22 - C Basis (Monthly),4002.10,4006.79,4048.95,4055.51,4193.26,4356.30,4503.42,4634.60,4767.66,4987.86
22 - B Basis (+ 28 points),52027,52088,52636,52722,54512,56632,58544,60250,61980,64842
22 - B Basis (+ 28 points) (Monthly),4335.60,4340.68,4386.37,4393.47,4542.69,4719.32,4878.70,5020.82,5164.96,5403.53
22 - A Basis,61472,61544,62192,62293,64408,66913,69173,71188,73231,76614
22 - A Basis (Monthly),5122.69,5128.69,5182.66,5191.05,5367.37,5576.06,5764.38,5932.30,6102.60,6384.47
23 - C Basis,48081,48587,48666,50319,52051,54075,56155,57763,59450,63025
23 - C Basis (Monthly),4006.79,4048.95,4055.51,4193.26,4337.56,4506.23,4679.57,4813.58,4954.13,5252.11
23 - B Basis (+ 42 points),52088,52636,52722,54512,56388,58581,60834,62577,64404,68277
23 - B Basis (+ 42 points) (Monthly),4340.68,4386.37,4393.47,4542.69,4699.02,4881.75,5069.54,5214.71,5366.98,5689.79
23 - A Basis,61544,62192,62293,64408,66625,69216,71878,73937,76096,80672
