# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 SPECIAL SERVICES SALARY (D) TABLE (4%) (2014-2015)
# population: Special Services (D) | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
10D E basis,3400.78,3589.96,3784.51,3995.16,4203.63
10D B basis,3211.84,3390.51,3574.26,3773.24,3970.21
10D C basis,2964.82,3129.71,3299.30,3482.95,3664.74
11D E basis,3496.51,3692.05,3889.88,4098.88,4321.93
11D B basis,3302.24,3486.97,3673.75,3870.71,4081.82
11D C basis,3048.22,3218.74,3391.17,3572.96,3767.82
12D E basis,3589.96,3784.51,3995.16,4203.63,4442.32
12D B basis,3390.51,3574.26,3773.24,3970.21,4195.55
12D C basis,3129.71,3299.30,3482.95,3664.74,3872.81
13D E basis,3692.05,3889.88,4098.88,4321.93,4569.17
13D B basis,3486.97,3673.75,3870.71,4081.82,4317.91
13D C basis,3218.74,3391.17,3572.96,3767.82,3983.34
14D E basis,3784.51,3995.16,4203.63,4442.32,4691.64
14D B basis,3574.26,3773.24,3970.21,4195.55,4431.01
14D C basis,3299.30,3482.95,3664.74,3872.81,4090.18
15D E basis,3889.88,4098.88,4321.93,4569.17,4818.59
15D B basis,3673.75,3870.71,4081.82,4315.34,4550.79
15D C basis,3391.17,3572.96,3767.82,3983.34,4200.78
16D E basis,3995.16,4203.63,4442.32,4691.64,4952.90
16D B basis,3773.24,3970.21,4195.55,4431.01,4677.67
16D C basis,3482.95,3664.74,3872.81,4090.18,4317.91
17D E basis,4098.35,4321.93,4569.17,4818.59,5092.66
17D B basis,3870.71,4081.82,4315.34,4550.79,4809.69
17D C basis,3572.96,3767.82,3983.34,4200.78,4439.73
18D E basis,4203.63,4442.32,4691.64,4952.90,5233.44
18D B basis,3970.21,4195.55,4431.01,4677.67,4942.61
18D C basis,3664.74,3872.81,4090.18,4317.91,4562.47
19D E basis,4321.93,4569.17,4818.59,5092.66,5370.92
19D B basis,4081.82,4315.34,4550.79,4809.69,5072.61
19D C basis,3767.82,3983.34,4200.78,4439.73,4682.36
