# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 SPECIAL SERVICES SALARY (D) TABLE (2014-2015)
# population: Special Services staff (D) | is_teacher_schedule: False
# validation_warnings: label_not_in_source: '1 Basis' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '1 Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2 Basis' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2 Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '3 Basis' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '3 Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '4 Basis' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '4 Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '5 Basis' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '5 Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed
step,1 Basis,1 Annual,2 Basis,2 Annual,3 Basis,3 Annual,4 Basis,4 Annual,5 Basis,5 Annual
34 A basis,7138.93,85667,7538.78,90465,7965.59,95587,8419.22,101031,8880.24,106563
34 E basis,6400.41,76805,6758.92,81107,7141.54,85698,7548.29,90579,7961.60,95539
34 B basis,6044.85,72538,6383.40,76601,6744.81,80938,7128.91,85547,7519.27,90231
34 C basis,5579.88,66959,5892.40,70709,6225.99,74712,6580.56,78967,6940.85,83290
35 A basis,7337.02,88044,7744.27,92931,8190.56,98287,8655.25,103863,9135.86,109630
35 E basis,6578.02,78936,6943.15,83318,7343.22,88119,7759.86,93118,8190.78,98289
35 B basis,6212.58,74551,6557.41,78689,6935.32,83224,7328.78,87945,7735.72,92829
36 A basis,7538.78,90465,7965.59,95587,8419.22,101031,8880.24,106563,9398.70,112784
36 E basis,6758.88,81107,7141.53,85698,7548.27,90579,7961.58,95539,8426.41,101117
36 B basis,6383.40,76601,6744.81,80938,7128.91,85547,7519.27,90231,7958.28,95499
36 C basis,5892.40,70709,6225.95,74711,6580.56,78967,6940.88,83291,7346.13,88154
37 A basis,7744.27,92931,8190.56,98287,8655.25,103863,9135.86,109630,9656.76,115881
37 E basis,6943.15,83318,7343.22,88119,7759.86,93118,8190.78,98289,8657.75,103893
37 B basis,6557.42,78689,6935.28,83223,7328.77,87945,7735.73,92829,8176.77,98121
38 A basis,7965.59,95587,8419.22,101031,8880.24,106563,9398.70,112784,9915.94,118991
38 E basis,7141.53,85698,7548.27,90579,7961.58,95539,8426.41,101117,8890.13,106682
38 B basis,6744.78,80937,7128.91,85547,7519.27,90231,7958.28,95499,8396.23,100755
39 A basis,8190.56,98287,8655.25,103863,9135.86,109630,9656.76,115881,10197.25,122367
39 E basis,7343.22,88119,7759.86,93118,8190.78,98289,8657.75,103893,9142.32,109708
39 B basis,6935.28,83223,7328.77,87945,7735.73,92829,8176.77,98121,8634.41,103613
40 A basis,8419.22,101031,8880.24,106563,9398.70,112784,9915.94,118991,10482.19,125786
40 E basis,7548.27,90579,7961.58,95539,8426.41,101117,8890.13,106682,9397.84,112774
40 B basis,7128.91,85547,7519.27,90231,7958.28,95499,8396.23,100755,8875.73,106509
