# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2014-2015)
# population: Special Services staff | is_teacher_schedule: False
# validation_warnings: label_not_in_source: '1 - Monthly' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '1 - Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2 - Monthly' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '2 - Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '3 - Monthly' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '3 - Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '4 - Monthly' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '4 - Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '5 - Monthly' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: '5 - Annual' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim) | audit confirmed
step,1 - Monthly,1 - Annual,2 - Monthly,2 - Annual,3 - Monthly,3 - Annual,4 - Monthly,4 - Annual,5 - Monthly,5 - Annual
34D A basis,6998.95,83987,7390.96,88692,7809.40,93713,8254.14,99050,8706.12,104473
34D E basis,6274.91,75299,6626.39,79517,7001.51,84018,7400.28,88803,7805.49,93666
34D B basis,5926.32,71116,6258.24,75099,6612.56,79351,6989.13,83870,7371.83,88462
34D C basis,5470.47,65646,5776.86,69322,6103.91,73247,6451.53,77418,6804.75,81657
35D A basis,7193.16,86318,7592.42,91109,8029.96,96360,8485.54,101826,8956.73,107481
35D E basis,6449.04,77388,6807.01,81684,7199.24,86391,7607.71,91293,8030.18,96362
35D B basis,6090.76,73089,6428.83,77146,6799.33,81592,7185.08,86221,7584.04,91008
36D A basis,7390.96,88692,7809.40,93713,8254.14,99050,8706.12,104473,9214.41,110573
36D E basis,6626.35,79516,7001.50,84018,7400.26,88803,7805.47,93666,8261.19,99134
36D B basis,6258.24,75099,6612.56,79351,6989.13,83870,7371.83,88462,7802.24,93627
36D C basis,5776.86,69322,6103.87,73246,6451.53,77418,6804.78,81657,7202.09,86425
37D A basis,7592.42,91109,8029.96,96360,8485.54,101826,8956.73,107481,9467.41,113609
37D E basis,6807.01,81684,7199.24,86391,7607.71,91293,8030.18,96362,8487.99,101856
37D B basis,6428.84,77146,6799.29,81591,7185.07,86221,7584.05,91009,8016.44,96197
38D A basis,7809.40,93713,8254.14,99050,8706.12,104473,9214.41,110573,9721.51,116658
38D E basis,7001.50,84018,7400.26,88803,7805.47,93666,8261.19,99134,8715.81,104590
38D B basis,6612.53,79350,6989.13,83870,7371.83,88462,7802.24,93627,8231.60,98779
39D A basis,8029.96,96360,8485.54,101826,8956.73,107481,9467.41,113609,9997.30,119968
39D E basis,7199.24,86391,7607.71,91293,8030.18,96362,8487.99,101856,8963.06,107557
39D B basis,6799.29,81591,7185.07,86221,7584.05,91009,8016.44,96197,8465.11,101581
40D A basis,8254.14,99050,8706.12,104473,9214.41,110573,9721.51,116658,10276.66,123320
40D E basis,7400.26,88803,7805.47,93666,8261.19,99134,8715.81,104590,9213.57,110563
40D B basis,6989.13,83870,7371.83,88462,7802.24,93627,8231.60,98779,8701.70,104420
