# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2014-2015)
# population: Special Services | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['B basis', 'C basis'] | audit confirmed"
step,1,2,3,4,5
20 D E basis,54374,57426,60624,64057,67596
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
21 D E basis,55927,58980,62334,65740,69477
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
22 D E basis,57426,60624,64057,67596,71582
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
23 D E basis,58899,62163,65636,69372,73424
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
A Basis,65696,69335,73209,77376,81896
28 D E basis,65228,68938,72753,76806,81107
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
29 D E basis,67136,70858,74752,78936,83318
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
30 D E basis,68938,72753,76806,81107,85699
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
31 D E basis,70858,74752,78936,83318,88119
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
32 D E basis,72753,76806,81107,85699,90580
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
33 D A basis,83378,87986,92902,98287,103834
E basis,74752,78883,83291,88120,93092
B basis,70600,74501,78664,83224,87921
C basis,65169,68770,72612,76822,81157
