"# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 THR SCHEDULE, Etc. (Cont'd) (2014-2015)"
# population: THR | is_teacher_schedule: False
"# validation_warnings: no lane columns extracted — verify this is truly a single-column table (step → value only, with no separate degree, year, or category columns) | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,value
"Differential, Instructional Coach (1322)*",1.25
"Differential, Library Media Teacher (1386)",500
"Differential, Professional Dev. (Delta) Coach (1408)",541
"Differential, Support Provider (1432)",500
"Differential, Urban Classroom Teacher Program I (1340)",1081
"Differential, Temporary Adviser (1320)**",0.73253
"Stipend, Literacy Training/Professional Dev. Rate 1 (1405)",102
"Stipend, Math Training/Professional Dev. Rate 1 (1406)",102
"Stipend, Mentor Principal, Rate 1 (1423)",2040
"Stipend, Mentor Principal, Rate 2 (1424)",3060
"Differential, PAR Program (1430) - A Basis",2150
"Differential, PAR Program (1430) - E Basis",1928
"Differential, PAR Program (1430) - B Basis",1820
"Differential, PAR Program (1430) - C Basis",1680
