# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Development Center Salary (V) Table (2014-2015)
# population: Development Center personnel | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: [''] | audit confirmed
step,1,2,3,4,5
Minimum of 60 Semester Units,32148,33351,34745,35881,37534
,3099.76,3204.68,3308.67,3419.28,3567.28
Minimum Plus 14 Points,33351,34745,35881,37197,38804
,3099.76,3204.68,3308.67,3419.28,3567.28
Minimum Plus 28 Points,34745,35881,37197,38456,40052
,3099.76,3204.68,3308.67,3419.28,3567.28
Bachelor's Degree,35881,37197,38456,39704,41391
,3099.76,3204.68,3308.67,3419.28,3567.28
BA + Restricted Severely Handicapped Credential,37197,38456,39704,41031,42807
,3099.76,3204.68,3308.67,3419.28,3567.28
