# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Development Center Salary (V) Table (2014-2015)
# population: Development Center staff (V Table) | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['', 'Minimum Plus'] | audit confirmed"
step,1,2,3,4,5
Minimum of 60,32791,34018,35440,36598,38285
Semester Units,2732.60,2834.81,2953.36,3049.87,3190.43
Minimum Plus,35440,36598,37941,39225,40853
14 Points,2834.81,2953.36,3049.87,3161.76,3298.37
Minimum Plus,35440,36598,37941,39225,40853
28 Points,2953.36,3049.87,3161.76,3268.77,3404.45
Bachelor's Degree,36598,37941,39225,40498,42218
,3161.76,3268.77,3374.84,3487.67,3638.63
BA + Restricted Severely Handicapped Credential,37941,39225,40498,41852,43664
,3161.76,3268.77,3374.84,3487.67,3638.63
