# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Early Education Center Salary (C) Table (2014-2015)
# population: Early Education Center personnel | is_teacher_schedule: False
# validation_warnings: duplicate step_labels: [''] | audit corrected this table
step,1,2,3,4,5
Minimum of 60,40598,42153,43922,45432,47532
Semester Units,3383.18,3512.71,3660.16,3786.01,3961.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
Minimum Plus 14 Points,42153,43922,45432,47101,49072
14 Points,3512.71,3660.16,3786.01,3925.10,4089.35
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
Minimum Plus 28 Points,43922,45432,47101,48640,50683
28 Points,3660.16,3786.01,3925.10,4053.34,4223.58
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
Bachelor's Degree,45432,47101,48640,50223,52366
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
BA + Elementary or Early Education Credential,47834,49964,52568,55301,58624
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
,3573.87,3732.91,3927.49,4131.68,4380.01
