# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Early Education Center Salary (C) Table (2014-2015)
# population: Early Education Center staff (C Table) | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['', 'Minimum Plus'] | audit confirmed"
step,1,2,3,4,5
Minimum of 60,41410,42996,44800,46341,48483
Semester Units,3450.84,3582.96,3733.36,3861.73,4040.23
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
Minimum Plus,44800,46341,48043,49613,51697
14 Points,3582.96,3733.36,3861.73,4003.60,4171.14
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
Minimum Plus,44800,46341,48043,49613,51697
28 Points,3733.36,3861.73,4003.60,4134.41,4308.05
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
Bachelor's Degree,46341,48043,49613,51228,53414
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
BA + Elementary or Early Education Credential,48791,50963,53619,56407,59797
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
,3645.35,3807.57,4006.04,4214.31,4467.61
