# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — FINAL 2014-2015 PREPARATION SALARY (L) TABLE (2% and 4%) (2014-2015)
# population: employees who hold a Bachelor's degree and alternative certification | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5,6,7,8,9,10,11,12,13,14
20 (Minimum) C Basis,42207,42207,42207,42941,45155,45625,47036,48619,50855,53115,,,,
20 (Minimum) B Basis,45725,45725,45725,46520,48918,49427,50956,52670,55093,57541,,,,
20 (Minimum) A Basis,54025,54025,54025,54965,57798,58400,60206,62232,65095,67987,,,,
21 (+ 14 points) C Basis,42207,42207,42574,44249,46004,47713,49525,51314,53069,55443,,,,
21 (+ 14 points) B Basis,45725,45725,46122,47936,49837,51689,53652,55590,57491,60063,,,,
21 (+ 14 points) A Basis,54025,54025,54495,56638,58885,61072,63392,65682,67928,70967,,,,
22 (+ 28 points) C Basis,42207,42574,44318,46290,48160,50133,52014,54032,55925,58322,,,,
22 (+ 28 points) B Basis,45725,46122,48011,50148,52173,54310,56348,58535,60585,63182,,,,
22 (+ 28 points) A Basis,54025,54495,56727,59252,61645,64170,66577,69161,71584,74652,,,,
23 (+ 42 points) C Basis,42574,44283,46290,48297,50454,52530,54594,56636,58712,61419,,,,
23 (+ 42 points) B Basis,46122,47974,50148,52322,54658,56907,59144,61355,63604,66537,,,,
23 (+ 42 points) A Basis,54495,56683,59252,61821,64581,67238,69880,72494,75151,78616,,,,
24 (+ 56 points) C Basis,44283,45981,48160,50454,52621,54881,57117,59285,61602,64412,,,,
24 (+ 56 points) B Basis,47974,49812,52173,54658,57007,59454,61877,64226,66736,69780,,,,
24 (+ 56 points) A Basis,56683,58855,61645,64581,67355,70248,73110,75885,78851,82447,,,,
25 (+ 70 points) C Basis,45820,47747,50179,52530,54892,57290,59687,62003,64401,67463,,,,
25 (+ 70 points) B Basis,49638,51726,54360,56907,59467,62064,64660,67170,69767,73085,,,,
25 (+ 70 points) A Basis,58650,61116,64228,67238,70262,73331,76399,79364,82433,86352,,,,
26 (+ 84 points) C Basis,47644,49525,52025,54594,57117,59698,62175,64664,67233,70468,,,,
26 (+ 84 points) B Basis,51614,53652,56360,59144,61877,64673,67357,70053,72836,76340,,,,
26 (+ 84 points) A Basis,60984,63392,66592,69880,73110,76413,79585,82770,86059,90199,,,,
27 (+ 98 points) C Basis,49032,51314,54032,56636,59308,62038,64676,67371,70044,73576,73920,74241,74562,74895
27 (+ 98 points) B Basis,53117,55590,58535,61355,64250,67208,70065,72985,75880,79707,80080,80428,80776,81136
27 (+ 98 points) A Basis,62760,65682,69161,72494,75914,79408,82785,86235,89656,94177,94618,95029,95440,95866
