# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — FINAL 2014-2015 PREPARATION SALARY (T) TABLE (2% AND 4%) (2014-2015)
"# population: Regular Credentials (non-emergency, non-intern) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,1,2,3,4,5,6,7,8,9,10
20 C Basis,48412,48470,48986,49502,49559,49639,51062,52254,54055,55592
20 C Basis (Monthly),4034.34,4039.14,4082.14,4125.16,4129.93,4136.62,4255.13,4354.54,4504.60,4632.68
20 B Basis,52447,52509,53068,53627,53689,53776,55317,56609,58560,60225
20 B Basis (Monthly),4370.55,4375.73,4422.31,4468.92,4474.10,4481.34,4609.73,4717.42,4879.98,5018.73
20 A Basis,61968,62041,62702,63362,63436,63538,65359,66886,69191,71158
20 A Basis (Monthly),5163.97,5170.08,5225.14,5280.19,5286.31,5294.87,5446.59,5573.81,5765.88,5929.82
21 C Basis,48470,48986,49502,49559,49639,51555,52254,54594,56166,58035
21 C Basis (Monthly),4039.14,4082.14,4125.16,4129.93,4136.62,4296.24,4354.54,4549.52,4680.46,4836.25
21 B Basis,52509,53068,53627,53689,53776,55851,56609,59144,60846,62871
21 B Basis (Monthly),4375.73,4422.31,4468.92,4474.10,4481.34,4654.26,4717.42,4928.65,5070.50,5239.28
21 A Basis,62041,62702,63362,63436,63538,65990,66886,69880,71892,74285
21 A Basis (Monthly),5170.08,5225.14,5280.19,5286.31,5294.87,5499.18,5573.81,5823.37,5990.99,6190.40
22 C Basis,48986,49043,49559,49639,51326,53321,55122,56727,58356,61051
22 C Basis (Monthly),4082.14,4086.93,4129.93,4136.62,4277.13,4443.43,4593.49,4727.29,4863.01,5087.62
22 B Basis,53068,53130,53689,53776,55602,57765,59715,61455,63219,66139
22 B Basis (Monthly),4422.31,4427.49,4474.10,4481.34,4633.54,4813.71,4976.27,5121.24,5268.26,5511.60
22 A Basis,62702,62775,63436,63538,65697,68251,70556,72611,74696,78146
22 A Basis (Monthly),5225.14,5231.26,5286.31,5294.87,5474.72,5687.58,5879.67,6050.95,6224.65,6512.16
23 C Basis,49043,49559,49639,51326,53092,55156,57278,58918,60639,64286
23 C Basis (Monthly),4086.93,4129.93,4136.62,4277.13,4424.31,4596.35,4773.16,4909.85,5053.21,5357.15
23 B Basis,53130,53689,53776,55602,57516,59753,62051,63828,65692,69643
23 B Basis (Monthly),4427.49,4474.10,4481.34,4633.54,4793.00,4979.39,5170.93,5319.00,5474.32,5803.59
23 A Basis,62775,63436,63538,65697,67957,70600,73316,75415,77618,82286
23 A Basis (Monthly),5231.26,5286.31,5294.87,5474.72,5663.11,5883.32,6109.66,6284.61,6468.13,6857.15
24 C Basis,49559,49639,51326,53092,55156,57312,59515,61224,63322,67417
24 C Basis (Monthly),4129.93,4136.62,4277.13,4424.31,4596.35,4776.04,4959.55,5101.96,5276.87,5618.08
24 B Basis,53689,53776,55602,57516,59753,62088,64474,66325,68599,73035
24 B Basis (Monthly),4474.10,4481.34,4633.54,4793.00,4979.39,5174.03,5372.84,5527.11,5716.61,6086.26
24 A Basis,63436,63538,65697,67957,70600,73360,76179,78366,81053,86294
24 A Basis (Monthly),5286.31,5294.87,5474.72,5663.11,5883.32,6113.33,6348.21,6530.50,6754.39,7191.14
25 C Basis,49639,51326,52793,55821,57989,60260,61820,63735,66213,70617
25 C Basis (Monthly),4136.62,4277.13,4399.45,4651.79,4832.43,5021.66,5151.66,5311.27,5517.72,5884.75
25 B Basis,53776,55602,57193,60473,62821,65282,66972,69046,71730,76502
25 B Basis (Monthly),4481.34,4633.54,4766.09,5039.43,5235.12,5440.14,5580.96,5753.87,5977.54,6375.13
25 A Basis,63538,65697,67576,71451,74226,77133,79130,81581,84752,90390
25 A Basis (Monthly),5294.87,5474.72,5631.30,5954.29,6185.51,6427.73,6594.13,6798.43,7062.68,7532.48
26 C Basis,51555,53046,54594,58047,60306,62669,64240,66477,69114,73748
26 C Basis (Monthly),4296.24,4420.50,4549.52,4837.21,5025.50,5222.38,5353.33,5539.71,5759.54,6145.67
26 B Basis,55851,57466,59144,62884,65331,67891,69593,72016,74874,79894
26 B Basis (Monthly),4654.26,4788.86,4928.65,5240.31,5444.28,5657.58,5799.44,6001.35,6239.50,6657.82
26 A Basis,65990,67899,69880,74299,77192,80216,82227,85090,88467,94397
26 A Basis (Monthly),5499.18,5658.23,5823.37,6191.62,6432.63,6684.65,6852.26,7090.83,7372.21,7866.45
27 C Basis,52702,55145,56751,60375,62726,65180,66740,69264,72005,77005
27 C Basis (Monthly),4391.81,4595.40,4729.21,5031.22,5227.16,5431.70,5561.69,5771.97,6000.39,6417.11
27 B Basis,57093,59740,61480,65406,67953,70612,72302,75035,78005,83423
27 B Basis (Monthly),4757.79,4978.34,5123.31,5450.50,5662.76,5884.35,6025.16,6252.95,6500.42,6951.88
27 A Basis,67458,70585,72641,77280,80289,83431,85428,88657,92166,98567
27 A Basis (Monthly),5621.52,5882.11,6053.38,6439.96,6690.77,6952.58,7118.96,7388.12,7680.50,8213.90
27 (continued) C Basis,77373,77705,78061,78393,,,,,,
27 (continued) C Basis (Monthly),6447.71,6475.42,6505.05,6532.76,,,,,,
27 (continued) B Basis,83820,84180,84566,84926,,,,,,
27 (continued) B Basis (Monthly),6985.01,7015.04,7047.13,7077.16,,,,,,
27 (continued) A Basis,99037,99462,99918,100343,,,,,,
27 (continued) A Basis (Monthly),8253.05,8288.53,8326.46,8361.94,,,,,,
