# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — FINAL 2014-2015 SPECIAL SERVICES SALARY (D) TABLE (2% and 4%) (2014-2015)
# population: Special Services | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['B basis', 'C basis'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
10D E basis,3468.80,3661.76,3860.20,4075.06,4287.70
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
11D E basis,3566.44,3765.89,3967.68,4180.32,4408.37
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
12D E basis,3661.76,3860.20,4075.06,4287.70,4531.17
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
13D E basis,3765.89,3967.68,4180.32,4408.37,4660.55
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
14D E basis,3860.20,4075.06,4287.70,4531.17,4785.47
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
15D E basis,3967.68,4180.32,4408.37,4660.55,4914.96
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
16D E basis,4075.06,4287.70,4531.17,4785.47,5051.96
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
17D E basis,4180.32,4408.37,4660.55,4914.96,5194.51
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
18D E basis,4287.70,4531.17,4785.47,5051.96,5338.11
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
19D E basis,4408.37,4660.55,4914.96,5194.51,5478.34
B basis,4163.46,4401.65,4641.81,4905.88,5174.06
C basis,3843.18,4063.01,4284.80,4528.52,4776.01
