# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Maximum Rates With Career Increments (2014-2015)
# population: Teachers (T) | is_teacher_schedule: True
# validation_warnings: only 36 cell(s) for 12 step(s) x 12 lane(s) (expected ~144) | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1st CI,1st CI & MA,1st CI & DR,2nd CI,2nd CI & MA,2nd CI & DR,3rd CI,3rd CI & MA,3rd CI & DR,4th CI,4th CI & MA,4th CI & DR
First Career Increment C Basis,79586,80170,80754,,,,,,,,,
First Career Increment B Basis,86218,86850,87483,,,,,,,,,
First Career Increment A Basis,101870,102617,103364,,,,,,,,,
Second Career Increment C Basis,,,,80194,80778,81362,,,,,,
Second Career Increment B Basis,,,,86877,87509,88142,,,,,,
Second Career Increment A Basis,,,,102648,103395,104142,,,,,,
Third Career Increment C Basis,,,,,,,82316,82900,83484,,,
Third Career Increment B Basis,,,,,,,89175,89807,90440,,,
Third Career Increment A Basis,,,,,,,105364,106111,106858,,,
Fourth Career Increment C Basis,,,,,,,,,,83703,84287,84871
Fourth Career Increment B Basis,,,,,,,,,,90679,91311,91944
Fourth Career Increment A Basis,,,,,,,,,,107140,107887,108634
