# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Pay Scale Group (2014-2015)
# population: Pay Scale Group 19C and 20 (Adult Education/Development Center staff) | is_teacher_schedule: True
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,6,7,8,9,10
19C (continued) A basis,58825,58998,60984,63789,66624
19C (continued) A basis (Monthly),4902.10,4916.52,5081.98,5315.77,5551.97
19C (continued) C basis,45978,46114,47665,49858,52074
19C (continued) C basis (Monthly),3831.53,3842.80,3972.11,4154.86,4339.46
19C (continued) E basis,52740,52895,54675,57190,59731
19C (continued) E basis (Monthly),4395.01,4407.90,4556.24,4765.87,4977.62
20 A basis,67784,,,,
20 A basis (Monthly),5648.69,,,,
20 C basis,52985,,,,
20 C basis (Monthly),4415.38,,,,
20 E basis,60777,,,,
20 E basis (Monthly),5064.71,,,,
