# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 PREPARATION SALARY (L) TABLE (2015-2016)
"# population: Employees who hold a Bachelor's degree and alternative certification (i.e., emergency, intern), not regular credentials | is_teacher_schedule: False"
"# validation_warnings: duplicate step_labels: ['20 A Basis', '20 B Basis', '20 C Basis', '21 A Basis', '21 B Basis', '21 C Basis', '22 A Basis', '22 B Basis', '22 C Basis', '23 A Basis', '23 B Basis', '23 C Basis', '24 A Basis', '24 B Basis', '24 C Basis', '25 A Basis', '25 B Basis', '25 C Basis', '26 A Basis', '26 B Basis', '26 C Basis', '27 A Basis', '27 B Basis', '27 C Basis'] | audit confirmed"
step,1,2,3,4,5,6,7,8,9,10
20 C Basis,3587.63,3587.63,3587.63,3650.01,3838.17,3878.14,3998.05,4132.58,4322.69,4514.74
20 C Basis,3587.63,3587.63,3587.63,3650.01,3838.17,3878.14,3998.05,4132.58,4322.69,4514.74
20 B Basis,3886.59,3886.59,3886.59,3954.18,4158.01,4201.31,4331.23,4476.95,4682.92,4890.97
20 B Basis,3886.59,3886.59,3886.59,3954.18,4158.01,4201.31,4331.23,4476.95,4682.92,4890.97
20 A Basis,4592.15,4592.15,4592.15,4672.02,4912.86,4964.01,5117.50,5289.71,5533.04,5778.87
20 A Basis,4592.15,4592.15,4592.15,4672.02,4912.86,4964.01,5117.50,5289.71,5533.04,5778.87
21 C Basis,3587.63,3587.63,3618.82,3761.15,3910.31,4055.57,4209.60,4361.68,4510.85,4712.64
21 C Basis,3587.63,3587.63,3618.82,3761.15,3910.31,4055.57,4209.60,4361.68,4510.85,4712.64
21 B Basis,3886.59,3886.59,3920.38,4074.58,4236.16,4393.54,4560.41,4725.16,4886.75,5105.38
21 B Basis,3886.59,3886.59,3920.38,4074.58,4236.16,4393.54,4560.41,4725.16,4886.75,5105.38
21 A Basis,4592.15,4592.15,4632.09,4814.27,5005.20,5191.13,5388.28,5582.95,5773.88,6032.19
21 A Basis,4592.15,4592.15,4632.09,4814.27,5005.20,5191.13,5388.28,5582.95,5773.88,6032.19
