# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 PREPARATION SALARY (L) TABLE (2015-2016)
"# population: employees who hold a Bachelor's degree and alternative certification (i.e., emergency, intern) | is_teacher_schedule: False"
# validation_warnings: none | audit confirmed
step,1,2,3,4,5,6,7,8,9,10
20 C Basis,43913,43913,43913,44676,46979,47468,48936,50583,52910,55260
20 C Basis Monthly,3659.38,3659.38,3659.38,3723.01,3914.93,3955.70,4078.01,4215.23,4409.14,4605.03
(Minimum) B Basis,47572,47572,47572,48399,50894,51424,53014,54798,57319,59865
(Minimum) B Basis Monthly,3964.32,3964.32,3964.32,4033.26,4241.17,4285.34,4417.85,4566.49,4776.58,4988.79
A Basis,56208,56208,56208,57186,60133,60759,62638,64746,67724,70733
A Basis Monthly,4683.99,4683.99,4683.99,4765.46,5011.12,5063.29,5219.85,5395.50,5643.70,5894.45
21 C Basis,43913,43913,44294,46036,47862,49640,51525,53387,55213,57683
21 C Basis Monthly,3659.38,3659.38,3691.20,3836.37,3988.52,4136.68,4293.79,4448.91,4601.07,4806.89
(+ 14 points) B Basis,47572,47572,47985,49873,51851,53777,55819,57836,59814,62490
(+ 14 points) B Basis Monthly,3964.32,3964.32,3998.79,4156.07,4320.88,4481.41,4651.62,4819.66,4984.49,5207.49
21 A Basis,56208,56208,56697,58927,61264,63539,65953,68335,70672,73834
21 A Basis Monthly,4683.99,4683.99,4724.73,4910.56,5105.30,5294.95,5496.05,5694.61,5889.36,6152.83
22 C Basis,43913,44294,46108,48161,50106,52158,54115,56215,58184,60678
22 C Basis Monthly,3659.38,3691.20,3842.33,4013.38,4175.46,4346.50,4509.58,4684.58,4848.67,5056.50
(+ 28 points) B Basis,47572,47985,49950,52174,54281,56505,58624,60900,63033,65735
(+ 28 points) B Basis Monthly,3964.32,3998.79,4162.54,4347.82,4523.41,4708.71,4885.37,5074.98,5252.73,5477.88
22 A Basis,56208,56697,59018,61646,64135,66762,69267,71955,74476,77668
22 A Basis Monthly,4683.99,4724.73,4918.19,5137.13,5344.59,5563.52,5772.25,5996.27,6206.31,6472.32
23 C Basis,44294,46072,48161,50249,52492,54652,56800,58924,61084,63900
23 C Basis Monthly,3691.20,3839.36,4013.38,4187.40,4374.34,4554.32,4733.32,4910.32,5090.30,5324.98
(+ 42 points) B Basis,47985,49912,52174,54436,56867,59206,61533,63834,66174,69225
(+ 42 points) B Basis Monthly,3998.79,4159.32,4347.82,4536.34,4738.88,4933.87,5127.76,5319.51,5514.51,5768.72
23 A Basis,56697,58973,61646,64318,67190,69954,72704,75422,78187,81792
23 A Basis Monthly,4724.73,4914.38,5137.13,5359.86,5599.15,5829.53,6058.64,6285.20,6515.60,6815.98
24 C Basis,46072,47838,50106,52492,54747,57098,59425,61680,64091,67014
24 C Basis Monthly,3839.36,3986.52,4175.46,4374.34,4562.28,4758.18,4952.09,5140.02,5340.89,5584.52
(+ 56 points) B Basis,49912,51825,54281,56867,59310,61856,64377,66820,69432,72599
(+ 56 points) B Basis Monthly,4159.32,4318.73,4523.41,4738.88,4942.47,5154.69,5364.77,5568.36,5785.98,6049.90
24 A Basis,58973,61233,64135,67190,70077,73086,76064,78951,82036,85778
24 A Basis Monthly,4914.38,5102.75,5344.59,5599.15,5839.71,6090.46,6338.66,6579.23,6836.35,7148.18
25 C Basis,47671,49676,52206,54652,57110,59604,62098,64508,67002,70188
25 C Basis Monthly,3972.61,4139.66,4350.48,4554.32,4759.18,4967.00,5174.83,5375.70,5583.52,5849.03
(+ 70 points) B Basis,51644,53816,56556,59206,61869,64571,67273,69884,72586,76037
(+ 70 points) B Basis Monthly,4303.66,4484.64,4713.01,4933.87,5155.77,5380.91,5606.06,5823.68,6048.82,6336.44
25 A Basis,61019,63585,66823,69954,73101,76293,79485,82571,85763,89841
25 A Basis Monthly,5084.92,5298.76,5568.61,5829.53,6091.74,6357.76,6623.78,6880.89,7146.92,7486.76
26 C Basis,49569,51525,54127,56800,59425,62110,64687,67277,69950,73315
26 C Basis Monthly,4130.71,4293.79,4510.58,4733.32,4952.09,5175.84,5390.61,5606.39,5829.15,6109.56
(+ 84 points) B Basis,53699,55819,58637,61533,64377,67286,70078,72883,75779,79424
(+ 84 points) B Basis Monthly,4474.94,4651.62,4886.44,5127.76,5364.77,5607.14,5839.83,6073.61,6314.90,6618.69
26 A Basis,63448,65953,69282,72704,76064,79501,82800,86114,89536,93843
26 A Basis Monthly,5287.31,5496.05,5773.54,6058.64,6338.66,6625.05,6899.98,7176.19,7461.30,7820.23
27 C Basis,51012,53387,56215,58924,61704,64544,67289,70093,72873,76549
27 C Basis Monthly,4251.04,4448.91,4684.58,4910.32,5142.01,5378.68,5607.39,5841.07,6072.77,6379.05
(+ 98 points) B Basis,55263,57836,60900,63834,66846,69923,72896,75934,78946,82928
(+ 98 points) B Basis Monthly,4605.28,4819.66,5074.98,5319.51,5570.51,5826.91,6074.68,6327.84,6578.84,6910.63
27 A Basis,65296,68335,71955,75422,78981,82616,86129,89719,93278,97982
27 A Basis Monthly,5441.32,5694.61,5996.27,6285.20,6581.76,6884.70,7177.44,7476.56,7773.15,8165.16
