# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 PREPARATION SALARY (T) TABLE (2015-2016)
"# population: Regular Credentials (Employees holding regular credentials and a Bachelor's Degree, or possession of certain vocational or industrial arts credentials) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5,6,7,8,9,10,11,12,13,14
20 (Minimum) C Basis,50368,50428,50965,51502,51561,51645,53124,54366,56239,57838,,,,
20 (Minimum) B Basis,54565,54630,55212,55794,55858,55949,57552,58896,60926,62658,,,,
20 (Minimum) A Basis,64471,64547,65235,65922,65999,66105,68000,69588,71986,74033,,,,
21 (+ 14 points) C Basis,50428,50965,51502,51561,51645,53638,54366,56800,58435,60380,,,,
21 (+ 14 points) B Basis,54630,55212,55794,55858,55949,58108,58896,61533,63304,65411,,,,
21 (+ 14 points) A Basis,64547,65235,65922,65999,66105,68656,69588,72704,74796,77286,,,,
22 (+ 28 points) C Basis,50965,51024,51561,51645,53399,55475,57349,59019,60714,63518,,,,
22 (+ 28 points) B Basis,55212,55276,55858,55949,57849,60098,62128,63938,65773,68811,,,,
22 (+ 28 points) A Basis,65235,65311,65999,66105,68351,71008,73407,75545,77713,81303,,,,
23 (+ 42 points) C Basis,51024,51561,51645,53399,55237,57385,59592,61299,63088,66883,,,,
23 (+ 42 points) B Basis,55276,55858,55949,57849,59840,62167,64558,66407,68346,72457,,,,
23 (+ 42 points) A Basis,65311,65999,66105,68351,70703,73452,76278,78462,80753,85610,,,,
24 (+ 56 points) C Basis,51561,51645,53399,55237,57385,59628,61919,63697,65881,70141,,,,
24 (+ 56 points) B Basis,55858,55949,57849,59840,62167,64597,67079,69005,71371,75986,,,,
24 (+ 56 points) A Basis,65999,66105,68351,70703,73452,76324,79256,81532,84327,89780,,,,
25 (+ 70 points) C Basis,51645,53399,54926,58077,60332,62694,64317,66310,68888,73470,,,,
25 (+ 70 points) B Basis,55949,57849,59504,62916,65359,67919,69677,71836,74628,79592,,,,
25 (+ 70 points) A Basis,66105,68351,70306,74338,77225,80249,82326,84877,88176,94041,,,,
26 (+ 84 points) C Basis,53638,55189,56800,60392,62742,65200,66835,69162,71907,76727,,,,
26 (+ 84 points) B Basis,58108,59788,61533,65424,67971,70634,72405,74926,77899,83122,,,,
26 (+ 84 points) A Basis,68656,70642,72704,77301,80310,83457,85549,88528,92040,98211,,,,
27^ (+ 98 points) C Basis,54831,57373,59043,62814,65260,67814,69437,72062,74914,80116,,,,
27^ (+ 98 points) B Basis,59400,62154,63964,68048,70698,73465,75223,78067,81156,86793,,,,
27^ (+ 98 points) A Basis,70184,73437,75575,80402,83533,86802,88879,92239,95889,102549,,,,
(continued) C Basis,,,,,,,,,,,80498,80844,81214,81560
27 B Basis,,,,,,,,,,,87206,87581,87982,88357
(+ 98 points) A Basis,,,,,,,,,,,103038,103481,103954,104397
