# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (2015-2016)
# population: Special Services | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
10D E basis,3538.18 42458,3735.00 44820,3937.40 47249,4156.56 49879,4373.45 52481
10D B basis,3341.60 40099,3527.49 42330,3718.67 44624,3925.67 47108,4130.60 49567
10D C basis,3084.60 37015,3256.15 39074,3432.60 41191,3623.66 43484,3812.79 45753
11D E basis,3637.77 43653,3841.21 46095,4047.03 48564,4263.93 51167,4496.54 53958
11D B basis,3435.65 41228,3627.84 43534,3822.17 45866,4027.08 48325,4246.73 50961
11D C basis,3171.36 38056,3348.77 40185,3528.17 42338,3717.31 44608,3920.04 47040
12D E basis,3735.00 44820,3937.40 47249,4156.56 49879,4373.45 52481,4621.79 55461
12D B basis,3527.49 42330,3718.67 44624,3925.67 47108,4130.60 49567,4365.05 52381
12D C basis,3256.15 39074,3432.60 41191,3623.66 43484,3812.79 45753,4029.28 48351
13D E basis,3841.21 46095,4047.03 48564,4263.93 51167,4496.54 53958,4753.76 57045
13D B basis,3627.84 43534,3822.17 45866,4027.08 48325,4246.73 50961,4489.68 53876
13D C basis,3348.77 40185,3528.17 42338,3717.31 44608,3920.04 47040,4144.27 49731
14D E basis,3937.40 47249,4156.56 49879,4373.45 52481,4621.79 55461,4881.18 58574
14D B basis,3718.67 44624,3925.67 47108,4130.60 49567,4365.05 52381,4610.02 55320
14D C basis,3432.60 41191,3623.66 43484,3812.79 45753,4029.28 48351,4255.42 51065
15D E basis,4047.03 48564,4263.93 51167,4496.54 53958,4753.76 57045,5013.26 60159
15D B basis,3822.17 45866,4027.08 48325,4246.73 50961,4489.68 53876,4734.65 56816
15D C basis,3528.17 42338,3717.31 44608,3920.04 47040,4144.27 49731,4370.50 52446
16D E basis,4156.56 49879,4373.45 52481,4621.79 55461,4881.18 58574,5153.00 61836
16D B basis,3925.67 47108,4130.60 49567,4365.05 52381,4610.02 55320,4866.64 58400
16D C basis,3623.66 43484,3812.79 45753,4029.28 48351,4255.42 51065,4492.36 53908
17D E basis,4263.93 51167,4496.54 53958,4753.76 57045,5013.26 60159,5298.40 63581
17D B basis,4027.08 48325,4246.73 50961,4489.68 53876,4734.65 56816,5004.00 60048
17D C basis,3717.31 44608,3920.04 47040,4144.27 49731,4370.50 52446,4619.09 55429
18D E basis,4373.45 52481,4621.79 55461,4881.18 58574,5153.00 61836,5444.87 65338
18D B basis,4130.60 49567,4365.05 52381,4610.02 55320,4866.64 58400,5142.29 61707
18D C basis,3812.79 45753,4029.28 48351,4255.42 51065,4492.36 53908,4746.79 56961
19D E basis,4496.54 53958,4753.76 57045,5013.26 60159,5298.40 63581,5587.91 67055
19D B basis,4246.73 50961,4489.68 53876,4734.65 56816,5004.00 60048,5277.54 63330
19D C basis,3920.04 47040,4144.27 49731,4370.50 52446,4619.09 55429,4871.53 58458
