# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (2015-2016)
# population: Special Services | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
10D E basis,42458,44820,47249,49879,52481
10D B basis,40099,42330,44624,47108,49567
10D C basis,37015,39074,41191,43484,45753
11D E basis,43653,46095,48564,51167,53958
11D B basis,41228,43534,45866,48325,50961
11D C basis,38056,40185,42338,44608,47040
12D E basis,44820,47249,49879,52481,55461
12D B basis,42330,44624,47108,49567,52381
12D C basis,39074,41191,43484,45753,48351
13D E basis,46095,48564,51167,53958,57045
13D B basis,43534,45866,48325,50961,53876
13D C basis,40185,42338,44608,47040,49731
14D E basis,47249,49879,52481,55461,58574
14D B basis,44624,47108,49567,52381,55320
14D C basis,41191,43484,45753,48351,51065
15D E basis,48564,51167,53958,57045,60159
15D B basis,45866,48325,50961,53876,56816
15D C basis,42338,44608,47040,49731,52446
16D E basis,49879,52481,55461,58574,61836
16D B basis,47108,49567,52381,55320,58400
16D C basis,43484,45753,48351,51065,53908
17D E basis,51167,53958,57045,60159,63581
17D B basis,48325,50961,53876,56816,60048
17D C basis,44608,47040,49731,52446,55429
18D E basis,52481,55461,58574,61836,65338
18D B basis,49567,52381,55320,58400,61707
18D C basis,45753,48351,51065,53908,56961
19D E basis,53958,57045,60159,63581,67055
19D B basis,50961,53876,56816,60048,63330
19D C basis,47040,49731,52446,55429,58458
20D E basis,55461,58574,61836,65338,68948
20D B basis,52381,55320,58400,61707,65117
20D C basis,48351,51065,53908,56961,60109
21D E basis,57045,60159,63581,67055,70866
21D B basis,53876,56816,60048,63330,66930
21D C basis,49731,52446,55429,58458,61781
22D E basis,58574,61836,65338,68948,73013
22D B basis,55320,58400,61707,65117,68957
22D C basis,51065,53908,56961,60109,63653
23D E basis,60077,63406,66948,70760,74893
23D B basis,56740,59883,63228,66829,70732
23D C basis,52375,55277,58365,61688,65290
23D A Basis,67010,70722,74673,78924,83534
28D E basis,66532,70317,74208,78342,82729
28D B basis,62836,66410,70086,73989,78133
28D C basis,58003,61302,64694,68298,72123
29D E basis,68478,72275,76247,80515,84984
29D B basis,64674,68260,72012,76042,80263
29D C basis,59699,63009,66472,70192,74089
30D E basis,70317,74208,78342,82729,87413
30D B basis,66410,70086,73989,78133,82557
30D C basis,61302,64694,68298,72123,76206
31D E basis,72275,76247,80515,84984,89882
31D B basis,68260,72012,76042,80263,84888
31D C basis,63009,66472,70192,74089,78359
32D E basis,74208,78342,82729,87413,92391
32D B basis,70086,73989,78133,82557,87258
32D C basis,64694,68298,72123,76206,80546
33D A basis,85045,89746,94760,100252,105911
33D E basis,76247,80461,84957,89882,94954
33D B basis,72012,75991,80237,84888,89679
33D C basis,66472,70145,74065,78359,82780
