# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (2015-2016)
# population: Special Services (D) | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
10D E basis,43307,45716,48194,50876,53531
10D B basis,40901,43176,45516,48050,50559
10D C basis,37755,39855,42015,44354,46669
11D E basis,44526,47016,49536,52191,55038
11D B basis,42052,44405,46783,49291,51980
11D C basis,38817,40989,43185,45500,47981
12D E basis,45716,48194,50876,53531,56571
12D B basis,43176,45516,48050,50559,53428
12D C basis,39855,42015,44354,46669,49318
13D E basis,47016,49536,52191,55038,58186
13D B basis,44405,46783,49291,51980,54954
13D C basis,40989,43185,45500,47981,50726
14D E basis,48194,50876,53531,56571,59746
14D B basis,45516,48050,50559,53428,56427
14D C basis,42015,44354,46669,49318,52086
15D E basis,49536,52191,55038,58186,61362
15D B basis,46783,49291,51980,54954,57952
15D C basis,43185,45500,47981,50726,53495
16D E basis,50876,53531,56571,59746,63073
16D B basis,48050,50559,53428,56427,59568
16D C basis,44354,46669,49318,52086,54987
17D E basis,52191,55038,58186,61362,64852
17D B basis,49291,51980,54954,57952,61249
17D C basis,45500,47981,50726,53495,56538
18D E basis,53531,56571,59746,63073,66645
18D B basis,50559,53428,56427,59568,62942
18D C basis,46669,49318,52086,54987,58101
19D E basis,55038,58186,61362,64852,68396
19D B basis,51980,54954,57952,61249,64597
19D C basis,47981,50726,53495,56538,59628
20D E basis,56571,59746,63073,66645,70326
20D B basis,53428,56427,59568,62942,66420
20D C basis,49318,52086,54987,58101,61311
21D E basis,58186,61362,64852,68396,72284
21D B basis,54954,57952,61249,64597,68268
21D C basis,50726,53495,56538,59628,63017
22D E basis,59746,63073,66645,70326,74474
22D B basis,56427,59568,62942,66420,70337
22D C basis,52086,54987,58101,61311,64926
23D E basis,61279,64674,68287,72175,76390
23D B basis,57875,61080,64493,68165,72146
23D C basis,53422,56382,59533,62922,66596
23D A Basis,68350,72136,76166,80502,85204
28D E basis,67863,71723,75692,79909,84384
28D B basis,64093,67738,71488,75469,79695
28D C basis,59163,62528,65988,69664,73566
29D E basis,69848,73721,77772,82125,86684
29D B basis,65967,69625,73452,77563,81868
29D C basis,60893,64269,67801,71596,75570
30D E basis,71723,75692,79909,84384,89161
30D B basis,67738,71488,75469,79695,84208
30D C basis,62528,65988,69664,73566,77730
31D E basis,73721,77772,82125,86884,91680
31D B basis,69625,73452,77563,81868,86586
31D C basis,64269,67801,71596,75570,79926
32D E basis,75692,79909,84384,89161,94239
32D B basis,71488,75469,79695,84208,89003
32D C basis,65988,69664,73566,77730,82157
33D A basis,86746,91541,96655,102258,108029
33D E basis,77772,82070,86656,91680,96853
33D B basis,73452,77511,81842,86586,91472
33D C basis,67801,71548,75546,79926,84436
