# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2015-2016)
# population: Special Services | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['B basis', 'C basis', 'E basis'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,2,3,4,5
20D E basis,55461,58574,61836,65338,68948
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
21D E basis,57045,60159,63581,67055,70866
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
22D E basis,58574,61836,65338,68948,73013
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
23D E basis,60077,63406,66948,70760,74893
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
A Basis,67010,70722,74673,78924,83534
28D E basis,66532,70317,74208,78342,82729
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
29D E basis,68478,72275,76247,80515,84984
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
30D E basis,70317,74208,78342,82729,87413
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
31D E basis,72275,76247,80515,84984,89882
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
32D E basis,74208,78342,82729,87413,92391
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
33D A basis,85045,89746,94760,100252,105911
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
34D A basis,87381,92275,97499,103051,108694
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
35D A basis,89805,94790,100252,105940,111823
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
36D A basis,92275,97499,103051,108694,115040
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
C basis,72123,76206,80546,84956,89917
37D A basis,94790,100252,105940,111823,118199
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
38D A basis,97499,103051,108694,115040,121371
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
39D A basis,100252,105940,111823,118199,124814
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
40D A basis,103051,108694,115040,121371,128302
E basis,92391,97450,103139,108815,115030
B basis,87258,92036,97409,102770,108639
