# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2015-2016 SPECIAL SERVICES SALARY (D) TABLE (Continued) (2015-2016)
# population: Special Services | is_teacher_schedule: False
# validation_warnings: cross_grid_duplicate: cell values are ~identical to a different schedule (2016‐2017 SPECIAL SERVICES SALARY (D) TABLE (Continued) p403) — distinct schedules should not share a value grid; verify each against its own page; cross_grid_contamination: a value column matches a column in a different schedule (p403) — one grid's data may be contaminated from another; verify | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,1,1,2,2,3,3,4,4,5,5
20D E basis,56571,56571,59746,59746,63073,63073,66645,66645,70326,70326
20D B basis,53428,53428,56427,56427,59568,59568,62942,62942,66420,66420
20D C basis,49318,49318,52086,52086,54987,54987,58101,58101,61311,61311
21D E basis,58186,58186,61362,61362,64852,64852,68396,68396,72284,72284
21D B basis,54954,54954,57952,57952,61249,61249,64597,64597,68268,68268
21D C basis,50726,50726,53495,53495,56538,56538,59628,59628,63017,63017
22D E basis,59746,59746,63073,63073,66645,66645,70326,70326,74474,74474
22D B basis,56427,56427,59568,59568,62942,62942,66420,66420,70337,70337
22D C basis,52086,52086,54987,54987,58101,58101,61311,61311,64926,64926
23D E basis,61279,61279,64674,64674,68287,68287,72175,72175,76390,76390
23D B basis,57875,57875,61080,61080,64493,64493,68165,68165,72146,72146
23D C basis,53422,53422,56382,56382,59533,59533,62922,62922,66596,66596
23D A Basis,68350,68350,72136,72136,76166,76166,80502,80502,85204,85204
28D E basis,67863,67863,71723,71723,75692,75692,79909,79909,84384,84384
28D B basis,64093,64093,67738,67738,71488,71488,75469,75469,79695,79695
28D C basis,59163,59163,62528,62528,65988,65988,69664,69664,73566,73566
29D E basis,69848,69848,73721,73721,77772,77772,82125,82125,86684,86684
29D B basis,65967,65967,69625,69625,73452,73452,77563,77563,81868,81868
29D C basis,60893,60893,64269,64269,67801,67801,71596,71596,75570,75570
30D E basis,71723,71723,75692,75692,79909,79909,84384,84384,89161,89161
30D B basis,67738,67738,71488,71488,75469,75469,79695,79695,84208,84208
30D C basis,62528,62528,65988,65988,69664,69664,73566,73566,77730,77730
31D E basis,73721,73721,77772,77772,82125,82125,86684,86684,91680,91680
31D B basis,69625,69625,73452,73452,77563,77563,81868,81868,86586,86586
31D C basis,64269,64269,67801,67801,71596,71596,75570,75570,79926,79926
32D E basis,75692,75692,79909,79909,84384,84384,89161,89161,94239,94239
32D B basis,71488,71488,75469,75469,79695,79695,84208,84208,89003,89003
32D C basis,65988,65988,69664,69664,73566,73566,77730,77730,82157,82157
33D A basis,86746,86746,91541,91541,96655,96655,102258,102258,108029,108029
33D E basis,77772,77772,82070,82070,86656,86656,91680,91680,96853,96853
33D B basis,73452,73452,77511,77511,81842,81842,86586,86586,91472,91472
33D C basis,67801,67801,71548,71548,75546,75546,79926,79926,84436,84436
