# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — APPENDIX E (2015-2016)
# population: 19C Pay Scale Group (Teachers) | is_teacher_schedule: False
# validation_warnings: none | audit confirmed
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,6,7,8,9,10
19C (continued) A basis (Annual),62426,62609,64716,67694,70702
19C (continued) A basis (Monthly),5202.14,5217.45,5393.04,5641.14,5891.80
19C (continued) C basis (Annual),48793,48936,50583,52910,55261
19C (continued) C basis (Monthly),4066.05,4078.01,4215.23,4409.17,4605.08
19C (continued) E basis (Annual),55968,56132,58021,60691,63387
19C (continued) E basis (Monthly),4664.02,4677.70,4835.12,5057.58,5282.28
19C (continued) 20 A basis (Annual),71933,,,,
19C (continued) 20 A basis (Monthly),5994.43,,,,
19C (continued) 20 C basis (Annual),56228,,,,
19C (continued) 20 C basis (Monthly),4685.65,,,,
19C (continued) 20 E basis (Annual),64496,,,,
19C (continued) 20 E basis (Monthly),5374.70,,,,
